Date,Team 1,Team 2,FT,HT
1999-08-22,Albacete,Eibar,3-1,1-1
1999-08-22,Badajoz,Getafe,2-1,0-1
1999-08-22,Compostela,Recreativo,3-0,0-0
1999-08-22,Cordoba,Sp Gijon,0-1,0-1
1999-08-22,Extremadura,Ath Madrid B,1-0,0-0
1999-08-22,Las Palmas,Tenerife,2-0,1-0
1999-08-22,Leganes,Merida,1-1,0-0
1999-08-22,Lleida,Villarreal,2-2,1-0
1999-08-22,Logrones,Levante,3-3,2-0
1999-08-22,Osasuna,Toledo,3-0,2-0
1999-08-22,Salamanca,Elche,2-1,0-1
1999-08-29,Ath Madrid B,Leganes,4-3,1-2
1999-08-29,Eibar,Badajoz,0-0,0-0
1999-08-29,Elche,Albacete,1-1,1-0
1999-08-29,Getafe,Extremadura,1-2,0-0
1999-08-29,Levante,Lleida,3-0,2-0
1999-08-29,Merida,Osasuna,2-0,2-0
1999-08-29,Recreativo,Cordoba,1-0,0-0
1999-08-29,Sp Gijon,Las Palmas,1-2,1-2
1999-08-29,Tenerife,Logrones,2-1,1-0
1999-08-29,Toledo,Compostela,0-1,0-0
1999-08-29,Villarreal,Salamanca,0-0,0-0
1999-09-04,Badajoz,Elche,1-1,1-0
1999-09-04,Compostela,Merida,1-2,0-0
1999-09-04,Extremadura,Leganes,2-0,2-0
1999-09-04,Osasuna,Ath Madrid B,1-0,1-0
1999-09-05,Albacete,Villarreal,0-2,0-0
1999-09-05,Cordoba,Toledo,0-2,0-0
1999-09-05,Getafe,Eibar,1-1,0-0
1999-09-05,Las Palmas,Recreativo,1-2,1-1
1999-09-05,Lleida,Tenerife,1-2,1-0
1999-09-05,Logrones,Sp Gijon,2-3,1-0
1999-09-05,Salamanca,Levante,3-0,0-0
1999-09-11,Ath Madrid B,Compostela,1-3,0-2
1999-09-11,Eibar,Extremadura,0-1,0-1
1999-09-11,Elche,Getafe,1-1,1-0
1999-09-11,Toledo,Las Palmas,1-3,1-1
1999-09-12,Leganes,Osasuna,0-1,0-1
1999-09-12,Levante,Albacete,2-0,1-0
1999-09-12,Merida,Cordoba,0-0,0-0
1999-09-12,Recreativo,Logrones,1-1,1-0
