Date,Team 1,Team 2,FT,HT
2010-08-27,Valladolid,Villarreal B,3-0,1-0
2010-08-28,Celta,Barcelona B,1-2,0-2
2010-08-28,Elche,Recreativo,1-0,1-0
2010-08-28,Girona,Tenerife,4-2,2-1
2010-08-28,Las Palmas,Gimnastic,3-2,2-2
2010-08-28,Ponferradina,Huesca,0-0,0-0
2010-08-28,Xerez,Cartagena,1-4,1-1
2010-08-29,Albacete,Alcorcon,1-1,0-1
2010-08-29,Betis,Granada,4-1,2-1
2010-08-29,Salamanca,Cordoba,1-1,1-1
2010-08-29,Vallecano,Numancia,3-2,2-1
2010-09-04,Cartagena,Elche,0-1,0-0
2010-09-04,Cordoba,Vallecano,2-3,2-0
2010-09-04,Gimnastic,Girona,2-0,0-0
2010-09-04,Huesca,Las Palmas,0-0,0-0
2010-09-04,Recreativo,Betis,1-3,0-1
2010-09-04,Villarreal B,Albacete,1-0,0-0
2010-09-05,Alcorcon,Ponferradina,2-0,2-0
2010-09-05,Barcelona B,Xerez,2-1,1-1
2010-09-05,Granada,Valladolid,0-1,0-1
2010-09-05,Numancia,Celta,1-3,0-3
2010-09-05,Tenerife,Salamanca,1-2,1-0
2010-09-10,Salamanca,Gimnastic,1-0,1-0
2010-09-11,Albacete,Granada,2-1,2-0
2010-09-11,Cartagena,Barcelona B,5-1,2-0
2010-09-11,Celta,Cordoba,3-2,1-0
2010-09-11,Elche,Betis,0-2,0-0
2010-09-11,Las Palmas,Alcorcon,4-1,1-0
2010-09-11,Ponferradina,Villarreal B,1-5,0-2
2010-09-11,Vallecano,Tenerife,1-0,0-0
2010-09-12,Girona,Huesca,3-1,2-0
2010-09-12,Valladolid,Recreativo,4-0,2-0
2010-09-12,Xerez,Numancia,1-0,1-0
2010-09-17,Villarreal B,Las Palmas,0-3,0-1
2010-09-18,Alcorcon,Girona,3-1,1-1
2010-09-18,Barcelona B,Elche,2-0,1-0
2010-09-18,Cordoba,Xerez,0-2,0-1
2010-09-18,Huesca,Salamanca,0-1,0-0
2010-09-18,Numancia,Cartagena,2-0,0-0
2010-09-18,Tenerife,Celta,0-2,0-2
2010-09-19,Betis,Valladolid,2-1,0-1
2010-09-19,Gimnastic,Vallecano,0-1,0-1
2010-09-19,Granada,Ponferradina,2-0,1-0
2010-09-19,Recreativo,Albacete,0-0,0-0
2010-09-24,Xerez,Tenerife,2-0,2-0
2010-09-25,Albacete,Betis,2-1,1-1
2010-09-25,Cartagena,Cordoba,1-2,1-1
2010-09-25,Girona,Villarreal B,2-3,2-1
2010-09-25,Las Palmas,Granada,1-1,0-0
2010-09-25,Vallecano,Huesca,4-0,1-0
2010-09-26,Barcelona B,Numancia,1-0,1-0
2010-09-26,Celta,Gimnastic,1-0,1-0
2010-09-26,Elche,Valladolid,2-2,0-1
2010-09-26,Ponferradina,Recreativo,1-1,1-0
2010-09-26,Salamanca,Alcorcon,1-1,1-0
2010-10-01,Villarreal B,Salamanca,0-1,0-0
2010-10-02,Betis,Ponferradina,3-0,2-0
2010-10-02,Gimnastic,Xerez,0-2,0-1
2010-10-02,Huesca,Celta,1-2,0-0
2010-10-02,Recreativo,Las Palmas,1-1,0-1
2010-10-03,Alcorcon,Vallecano,2-0,0-0
2010-10-03,Cordoba,Barcelona B,2-0,1-0
2010-10-03,Granada,Girona,2-1,2-1
2010-10-03,Numancia,Elche,2-0,1-0
2010-10-03,Tenerife,Cartagena,1-1,0-0
2010-10-04,Valladolid,Albacete,1-1,0-0
2010-10-09,Cartagena,Gimnastic,2-2,1-0
2010-10-09,Celta,Alcorcon,3-0,1-0
2010-10-09,Elche,Albacete,1-0,0-0
2010-10-09,Las Palmas,Betis,2-2,1-0
2010-10-09,Vallecano,Villarreal B,3-0,0-0
2010-10-10,Barcelona B,Tenerife,3-1,2-0
2010-10-10,Girona,Recreativo,0-0,0-0
2010-10-10,Numancia,Cordoba,1-1,1-0
2010-10-10,Ponferradina,Valladolid,1-1,0-0
2010-10-10,Salamanca,Granada,1-2,1-1
2010-10-10,Xerez,Huesca,1-3,0-2
2010-10-15,Recreativo,Salamanca,0-2,0-0
2010-10-16,Albacete,Ponferradina,0-1,0-0
2010-10-16,Alcorcon,Xerez,3-1,3-0
2010-10-16,Betis,Girona,2-1,0-1
2010-10-16,Gimnastic,Barcelona B,1-1,1-1
2010-10-16,Huesca,Cartagena,0-0,0-0
2010-10-16,Villarreal B,Celta,2-2,1-0
2010-10-17,Cordoba,Elche,0-0,0-0
2010-10-17,Granada,Vallecano,1-1,1-1
2010-10-17,Tenerife,Numancia,1-1,0-1
2010-10-17,Valladolid,Las Palmas,3-0,2-0
2010-10-22,Xerez,Villarreal B,3-1,1-1
2010-10-23,Barcelona B,Huesca,0-1,0-0
2010-10-23,Cartagena,Alcorcon,1-0,1-0
2010-10-23,Celta,Granada,1-1,0-0
2010-10-23,Cordoba,Tenerife,2-2,0-0
2010-10-23,Elche,Ponferradina,2-0,0-0
2010-10-23,Girona,Valladolid,2-0,0-0
2010-10-23,Las Palmas,Albacete,2-1,1-0
2010-10-23,Vallecano,Recreativo,0-0,0-0
2010-10-24,Numancia,Gimnastic,1-0,0-0
2010-10-24,Salamanca,Betis,0-3,0-2
2010-10-29,Recreativo,Celta,1-1,1-0
2010-10-30,Albacete,Girona,1-1,0-0
2010-10-30,Granada,Xerez,5-0,3-0
2010-10-30,Huesca,Numancia,0-0,0-0
2010-10-30,Ponferradina,Las Palmas,3-2,1-1
2010-10-30,Valladolid,Salamanca,1-0,0-0
2010-10-30,Villarreal B,Cartagena,2-0,1-0
2010-10-31,Alcorcon,Barcelona B,1-3,1-1
2010-10-31,Betis,Vallecano,4-0,1-0
2010-10-31,Gimnastic,Cordoba,1-1,0-0
2010-10-31,Tenerife,Elche,1-0,0-0
2010-11-05,Elche,Las Palmas,2-2,0-1
2010-11-06,Barcelona B,Villarreal B,4-1,2-1
2010-11-06,Cartagena,Granada,2-1,2-1
2010-11-06,Cordoba,Huesca,2-0,2-0
2010-11-06,Girona,Ponferradina,3-0,3-0
2010-11-06,Numancia,Alcorcon,2-1,1-0
2010-11-06,Salamanca,Albacete,1-0,1-0
2010-11-06,Vallecano,Valladolid,3-0,1-0
2010-11-06,Xerez,Recreativo,1-1,1-1
2010-11-07,Celta,Betis,1-1,1-0
2010-11-07,Tenerife,Gimnastic,0-2,0-0
2010-11-12,Villarreal B,Numancia,1-0,1-0
2010-11-13,Albacete,Vallecano,1-1,1-0
2010-11-13,Betis,Xerez,3-1,1-0
2010-11-13,Gimnastic,Elche,0-0,0-0
2010-11-13,Granada,Barcelona B,4-1,1-1
2010-11-13,Huesca,Tenerife,0-0,0-0
2010-11-13,Las Palmas,Girona,1-1,1-0
2010-11-14,Ponferradina,Salamanca,3-2,2-0
2010-11-14,Recreativo,Cartagena,3-0,0-0
2010-11-14,Valladolid,Celta,3-2,1-2
2010-11-15,Alcorcon,Cordoba,2-1,2-1
2010-11-19,Barcelona B,Recreativo,1-1,1-0
2010-11-20,Cartagena,Betis,2-1,0-0
2010-11-20,Elche,Girona,0-0,0-0
2010-11-20,Gimnastic,Huesca,0-0,0-0
2010-11-20,Salamanca,Las Palmas,4-2,1-1
2010-11-20,Vallecano,Ponferradina,3-1,2-0
2010-11-21,Celta,Albacete,3-1,1-1
2010-11-21,Cordoba,Villarreal B,0-0,0-0
2010-11-21,Numancia,Granada,3-2,2-0
2010-11-21,Tenerife,Alcorcon,1-0,0-0
2010-11-21,Xerez,Valladolid,4-0,0-0
2010-11-26,Ponferradina,Celta,0-0,0-0
2010-11-27,Albacete,Xerez,1-1,0-0
2010-11-27,Huesca,Elche,2-2,1-2
2010-11-27,Las Palmas,Vallecano,2-1,0-1
2010-11-28,Alcorcon,Gimnastic,1-1,1-0
2010-11-28,Girona,Salamanca,1-1,0-1
2010-11-28,Granada,Cordoba,1-1,0-1
2010-11-28,Recreativo,Numancia,1-0,0-0
2010-11-28,Valladolid,Cartagena,0-1,0-0
2010-11-28,Villarreal B,Tenerife,0-2,0-1
2010-12-03,Xerez,Ponferradina,0-0,0-0
2010-12-04,Barcelona B,Valladolid,0-0,0-0
2010-12-04,Cartagena,Albacete,1-1,1-1
2010-12-04,Cordoba,Recreativo,3-3,2-1
2010-12-04,Gimnastic,Villarreal B,1-2,0-0
2010-12-04,Huesca,Alcorcon,3-1,3-1
2010-12-04,Numancia,Betis,1-2,1-2
2010-12-05,Celta,Las Palmas,2-0,1-0
2010-12-05,Elche,Salamanca,3-1,1-1
2010-12-05,Vallecano,Girona,2-0,0-0
2010-12-08,Betis,Barcelona B,2-2,1-0
2010-12-10,Ponferradina,Cartagena,1-2,0-1
2010-12-11,Alcorcon,Elche,0-1,0-0
2010-12-11,Betis,Cordoba,3-1,2-0
2010-12-11,Girona,Celta,1-1,0-1
2010-12-11,Las Palmas,Xerez,0-3,0-0
2010-12-11,Valladolid,Numancia,4-5,3-2
