Date,Team 1,Team 2,FT,HT
2010-08-28,Hercules,Ath Bilbao,0-1,0-0
2010-08-28,Levante,Sevilla,1-4,1-2
2010-08-28,Malaga,Valencia,1-3,1-1
2010-08-29,Espanol,Getafe,3-1,1-0
2010-08-29,La Coruna,Zaragoza,0-0,0-0
2010-08-29,Mallorca,Real Madrid,0-0,0-0
2010-08-29,Osasuna,Almeria,0-0,0-0
2010-08-29,Santander,Barcelona,0-3,0-2
2010-08-29,Sociedad,Villarreal,1-0,0-0
2010-08-30,Ath Madrid,Sp Gijon,4-0,2-0
2010-09-11,Ath Bilbao,Ath Madrid,1-2,0-1
2010-09-11,Barcelona,Hercules,0-2,0-1
2010-09-11,Real Madrid,Osasuna,1-0,0-0
2010-09-11,Valencia,Santander,1-0,1-0
2010-09-12,Getafe,Levante,4-1,2-1
2010-09-12,Sevilla,La Coruna,0-0,0-0
2010-09-12,Sp Gijon,Mallorca,2-0,0-0
2010-09-12,Villarreal,Espanol,4-0,2-0
2010-09-12,Zaragoza,Malaga,3-5,1-5
2010-09-13,Almeria,Sociedad,2-2,1-2
2010-09-18,Espanol,Almeria,1-0,0-0
2010-09-18,Mallorca,Osasuna,2-0,1-0
2010-09-18,Sociedad,Real Madrid,1-2,0-0
2010-09-18,Sp Gijon,Ath Bilbao,2-2,2-1
2010-09-19,Ath Madrid,Barcelona,1-2,1-2
2010-09-19,Hercules,Valencia,1-2,1-2
2010-09-19,Levante,Villarreal,1-2,0-2
2010-09-19,Malaga,Sevilla,1-2,1-2
2010-09-19,Santander,Zaragoza,2-0,0-0
2010-09-20,La Coruna,Getafe,2-2,0-1
2010-09-21,Ath Bilbao,Mallorca,3-0,1-0
2010-09-21,Osasuna,Sociedad,3-1,2-1
2010-09-21,Real Madrid,Espanol,3-0,1-0
2010-09-22,Almeria,Levante,0-1,0-1
2010-09-22,Barcelona,Sp Gijon,1-0,0-0
2010-09-22,Valencia,Ath Madrid,1-1,0-1
2010-09-22,Zaragoza,Hercules,0-0,0-0
2010-09-23,Getafe,Malaga,0-2,0-0
2010-09-23,Sevilla,Santander,1-1,1-0
2010-09-23,Villarreal,La Coruna,1-0,1-0
2010-09-25,Ath Bilbao,Barcelona,1-3,0-0
2010-09-25,Levante,Real Madrid,0-0,0-0
2010-09-25,Sp Gijon,Valencia,0-2,0-2
2010-09-26,Ath Madrid,Zaragoza,1-0,1-0
2010-09-26,Espanol,Osasuna,1-0,1-0
2010-09-26,Hercules,Sevilla,2-0,2-0
2010-09-26,La Coruna,Almeria,0-2,0-2
2010-09-26,Mallorca,Sociedad,2-0,1-0
2010-09-26,Santander,Getafe,0-1,0-1
2010-09-27,Malaga,Villarreal,2-3,2-3
2010-10-02,Sociedad,Espanol,1-0,0-0
2010-10-02,Valencia,Ath Bilbao,2-1,1-0
2010-10-02,Zaragoza,Sp Gijon,2-2,0-1
2010-10-03,Almeria,Malaga,1-1,0-0
2010-10-03,Barcelona,Mallorca,1-1,1-1
2010-10-03,Getafe,Hercules,3-0,2-0
2010-10-03,Osasuna,Levante,1-1,0-0
2010-10-03,Real Madrid,La Coruna,6-1,3-0
2010-10-03,Sevilla,Ath Madrid,3-1,2-0
2010-10-03,Villarreal,Santander,2-0,2-0
2010-10-16,Ath Madrid,Getafe,2-0,1-0
2010-10-16,Barcelona,Valencia,2-1,0-1
2010-10-16,Malaga,Real Madrid,1-4,0-2
2010-10-17,Ath Bilbao,Zaragoza,2-1,2-0
2010-10-17,La Coruna,Osasuna,0-0,0-0
2010-10-17,Levante,Sociedad,2-1,0-0
2010-10-17,Mallorca,Espanol,0-1,0-1
2010-10-17,Santander,Almeria,1-0,1-0
2010-10-17,Sp Gijon,Sevilla,2-0,1-0
2010-10-18,Hercules,Villarreal,2-2,2-1
2010-10-23,Real Madrid,Santander,6-1,3-0
2010-10-23,Valencia,Mallorca,1-2,1-2
2010-10-23,Zaragoza,Barcelona,0-2,0-1
2010-10-24,Almeria,Hercules,1-1,0-1
2010-10-24,Espanol,Levante,2-1,1-0
2010-10-24,Getafe,Sp Gijon,3-0,1-0
2010-10-24,Osasuna,Malaga,3-0,2-0
2010-10-24,Sevilla,Ath Bilbao,4-3,2-0
2010-10-24,Villarreal,Ath Madrid,2-0,1-0
2010-10-25,Sociedad,La Coruna,3-0,1-0
2010-10-30,Barcelona,Sevilla,5-0,2-0
2010-10-30,Hercules,Real Madrid,1-3,1-0
2010-10-30,Valencia,Zaragoza,1-1,1-1
2010-10-31,Ath Bilbao,Getafe,3-0,2-0
2010-10-31,Ath Madrid,Almeria,1-1,1-1
2010-10-31,La Coruna,Espanol,3-0,1-0
2010-10-31,Malaga,Sociedad,1-2,0-1
2010-10-31,Santander,Osasuna,4-1,2-0
2010-10-31,Sp Gijon,Villarreal,1-1,0-0
2010-11-01,Mallorca,Levante,2-1,0-1
2010-11-06,Espanol,Malaga,1-0,1-0
2010-11-06,Sociedad,Santander,1-0,1-0
2010-11-07,Almeria,Sp Gijon,1-1,1-0
2010-11-07,Getafe,Barcelona,1-3,0-2
2010-11-07,Levante,La Coruna,1-2,0-1
2010-11-07,Osasuna,Hercules,3-0,1-0
2010-11-07,Real Madrid,Ath Madrid,2-0,2-0
2010-11-07,Villarreal,Ath Bilbao,4-1,2-1
2010-11-07,Zaragoza,Mallorca,3-2,0-1
2010-11-08,Sevilla,Valencia,2-0,0-0
2010-11-13,Ath Bilbao,Almeria,1-0,1-0
2010-11-13,Ath Madrid,Osasuna,3-0,2-0
2010-11-13,Barcelona,Villarreal,3-1,1-1
2010-11-14,Hercules,Sociedad,2-1,0-1
2010-11-14,Malaga,Levante,1-0,0-0
2010-11-14,Mallorca,La Coruna,0-0,0-0
2010-11-14,Santander,Espanol,0-0,0-0
2010-11-14,Sp Gijon,Real Madrid,0-1,0-0
