Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 17 Aug 2012 (33),Barcelona B (1),4-5,2-2,Almeria (1)
?,(Fri) 17 Aug 2012 (33),Mirandes (1),0-1,0-1,Huesca (1)
?,(Fri) 17 Aug 2012 (33),Villarreal CF (1),2-1,1-1,Real Madrid B (1)
?,(Sat) 18 Aug 2012 (33),Girona (1),0-0,0-0,Sabadell (1)
?,(Sat) 18 Aug 2012 (33),Lugo (1),1-0,1-0,Hercules (1)
?,(Sat) 18 Aug 2012 (33),Xerez (1),2-0,0-0,Recreativo (1)
?,(Sun) 19 Aug 2012 (33),Alcorcon (1),1-1,0-0,Guadalajara (1)
?,(Sun) 19 Aug 2012 (33),Elche (1),4-2,3-1,Ponferradina (1)
?,(Sun) 19 Aug 2012 (33),Numancia (1),2-0,1-0,Sporting Gijón (1)
?,(Sun) 19 Aug 2012 (33),Santander (1),0-1,0-1,UD Las Palmas (1)
?,(Mon) 20 Aug 2012 (34),Murcia (1),0-0,0-0,Cordoba (1)
?,(Fri) 24 Aug 2012 (34),Almeria (2),2-1,2-1,Xerez (2)
?,(Sat) 25 Aug 2012 (34),Guadalajara (2),1-5,1-1,Girona (2)
?,(Sat) 25 Aug 2012 (34),Huesca (2),1-1,1-1,Numancia (2)
?,(Sat) 25 Aug 2012 (34),UD Las Palmas (2),1-1,1-1,Lugo (2)
?,(Sat) 25 Aug 2012 (34),Ponferradina (2),2-0,0-0,Alcorcon (2)
?,(Sat) 25 Aug 2012 (34),Real Madrid B (2),3-2,2-1,Barcelona B (2)
?,(Sat) 25 Aug 2012 (34),Recreativo (2),1-0,0-0,Mirandes (2)
?,(Sat) 25 Aug 2012 (34),Sabadell (2),0-0,0-0,Villarreal CF (2)
?,(Sat) 25 Aug 2012 (34),Sporting Gijón (2),2-3,1-1,Murcia (2)
?,(Sun) 26 Aug 2012 (34),Cordoba (2),2-0,1-0,Santander (2)
?,(Sun) 26 Aug 2012 (34),Hercules (2),1-2,0-2,Elche (2)
?,(Sat) 1 Sep 2012 (35),Almeria (3),1-0,1-0,Real Madrid B (3)
?,(Sat) 1 Sep 2012 (35),Elche (3),3-1,1-0,UD Las Palmas (3)
?,(Sat) 1 Sep 2012 (35),Girona (3),1-0,1-0,Ponferradina (3)
?,(Sat) 1 Sep 2012 (35),Lugo (3),1-1,1-0,Cordoba (3)
?,(Sat) 1 Sep 2012 (35),Murcia (3),2-1,2-0,Huesca (3)
?,(Sat) 1 Sep 2012 (35),Numancia (3),0-0,0-0,Recreativo (3)
?,(Sat) 1 Sep 2012 (35),Villarreal CF (3),2-1,0-1,Guadalajara (3)
?,(Sat) 1 Sep 2012 (35),Xerez (3),0-4,0-1,Mirandes (3)
?,(Sun) 2 Sep 2012 (35),Alcorcon (3),1-0,1-0,Hercules (3)
?,(Sun) 2 Sep 2012 (35),Barcelona B (3),2-0,1-0,Sabadell (3)
?,(Sun) 2 Sep 2012 (35),Santander (3),0-0,0-0,Sporting Gijón (3)
?,(Sat) 8 Sep 2012 (36),Guadalajara (4),0-1,0-0,Barcelona B (4)
?,(Sat) 8 Sep 2012 (36),Hercules (4),2-1,2-1,Girona (4)
?,(Sat) 8 Sep 2012 (36),UD Las Palmas (4),1-3,1-2,Alcorcon (4)
?,(Sat) 8 Sep 2012 (36),Mirandes (4),0-0,0-0,Numancia (4)
?,(Sat) 8 Sep 2012 (36),Ponferradina (4),0-1,0-0,Villarreal CF (4)
?,(Sat) 8 Sep 2012 (36),Real Madrid B (4),3-2,2-1,Xerez (4)
?,(Sat) 8 Sep 2012 (36),Recreativo (4),3-2,2-0,Murcia (4)
?,(Sat) 8 Sep 2012 (36),Sabadell (4),3-0,2-0,Almeria (4)
?,(Sun) 9 Sep 2012 (36),Cordoba (4),0-1,0-1,Elche (4)
?,(Sun) 9 Sep 2012 (36),Huesca (4),1-1,0-1,Santander (4)
?,(Sun) 9 Sep 2012 (36),Sporting Gijón (4),1-1,1-1,Lugo (4)
?,(Fri) 14 Sep 2012 (37),Real Madrid B (5),2-3,2-0,Sabadell (5)
