Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 27 Aug 2005 (34),Ciudad de Murcia (1),3-1,2-1,Recreativo (1)
?,(Sat) 27 Aug 2005 (34),Levante UD (1),2-0,1-0,Poli Ejido (1)
?,(Sat) 27 Aug 2005 (34),Lorca (1),1-1,0-0,Ferrol (1)
?,(Sat) 27 Aug 2005 (34),Sporting Gijón (1),2-0,2-0,Albacete (1)
?,(Sat) 27 Aug 2005 (34),Tenerife (1),3-1,3-1,Gimnastic (1)
?,(Sat) 27 Aug 2005 (34),Xerez (1),2-1,1-1,Real Madrid B (1)
?,(Sun) 28 Aug 2005 (34),SD Eibar (1),1-2,0-1,Elche (1)
?,(Sun) 28 Aug 2005 (34),Hercules (1),1-1,1-1,Malaga B (1)
?,(Sun) 28 Aug 2005 (34),Lleida (1),1-0,1-0,Castellon (1)
?,(Sun) 28 Aug 2005 (34),Numancia (1),3-0,2-0,Almeria (1)
?,(Sun) 28 Aug 2005 (34),Valladolid (1),1-0,1-0,Murcia (1)
?,(Sat) 3 Sep 2005 (35),Castellon (2),0-1,0-0,Numancia (2)
?,(Sat) 3 Sep 2005 (35),Ferrol (2),1-2,1-2,Levante UD (2)
?,(Sat) 3 Sep 2005 (35),Recreativo (2),3-1,2-0,Tenerife (2)
?,(Sun) 4 Sep 2005 (35),Albacete (2),2-3,1-2,Valladolid (2)
?,(Sun) 4 Sep 2005 (35),Almeria (2),3-0,0-0,Xerez (2)
?,(Sun) 4 Sep 2005 (35),Elche (2),1-3,0-0,Lorca (2)
?,(Sun) 4 Sep 2005 (35),Gimnastic (2),0-4,0-2,Sporting Gijón (2)
?,(Sun) 4 Sep 2005 (35),Malaga B (2),0-1,0-0,Ciudad de Murcia (2)
?,(Sun) 4 Sep 2005 (35),Murcia (2),1-0,1-0,SD Eibar (2)
?,(Sun) 4 Sep 2005 (35),Poli Ejido (2),2-1,0-1,Lleida (2)
?,(Sun) 4 Sep 2005 (35),Real Madrid B (2),3-0,2-0,Hercules (2)
?,(Sat) 10 Sep 2005 (36),SD Eibar (3),1-1,1-1,Albacete (3)
?,(Sat) 10 Sep 2005 (36),Hercules (3),2-2,1-0,Almeria (3)
?,(Sat) 10 Sep 2005 (36),Lleida (3),5-0,1-0,Numancia (3)
?,(Sat) 10 Sep 2005 (36),Valladolid (3),0-2,0-1,Gimnastic (3)
?,(Sun) 11 Sep 2005 (36),Ciudad de Murcia (3),2-1,1-0,Real Madrid B (3)
?,(Sun) 11 Sep 2005 (36),Levante UD (3),1-0,0-0,Elche (3)
?,(Sun) 11 Sep 2005 (36),Lorca (3),0-1,0-1,Murcia (3)
?,(Sun) 11 Sep 2005 (36),Poli Ejido (3),4-2,2-1,Ferrol (3)
?,(Sun) 11 Sep 2005 (36),Sporting Gijón (3),1-1,1-0,Recreativo (3)
?,(Sun) 11 Sep 2005 (36),Tenerife (3),3-2,2-1,Malaga B (3)
?,(Sun) 11 Sep 2005 (36),Xerez (3),2-1,1-0,Castellon (3)
?,(Sat) 17 Sep 2005 (37),Almeria (4),1-0,0-0,Ciudad de Murcia (4)
?,(Sat) 17 Sep 2005 (37),Castellon (4),1-2,0-1,Hercules (4)
?,(Sat) 17 Sep 2005 (37),Malaga B (4),1-0,0-0,Sporting Gijón (4)
?,(Sat) 17 Sep 2005 (37),Real Madrid B (4),1-2,1-1,Tenerife (4)
?,(Sun) 18 Sep 2005 (37),Albacete (4),1-0,0-0,Lorca (4)
?,(Sun) 18 Sep 2005 (37),Elche (4),2-0,0-0,Poli Ejido (4)
?,(Sun) 18 Sep 2005 (37),Ferrol (4),0-0,0-0,Lleida (4)
?,(Sun) 18 Sep 2005 (37),Gimnastic (4),1-0,1-0,SD Eibar (4)
?,(Sun) 18 Sep 2005 (37),Murcia (4),0-0,0-0,Levante UD (4)
?,(Sun) 18 Sep 2005 (37),Numancia (4),1-1,0-0,Xerez (4)
?,(Sun) 18 Sep 2005 (37),Recreativo (4),2-0,1-0,Valladolid (4)
?,(Sat) 24 Sep 2005 (38),SD Eibar (5),2-1,1-1,Recreativo (5)
?,(Sat) 24 Sep 2005 (38),Ferrol (5),2-1,0-0,Elche (5)
?,(Sat) 24 Sep 2005 (38),Hercules (5),4-0,1-0,Numancia (5)
?,(Sat) 24 Sep 2005 (38),Lleida (5),0-1,0-0,Xerez (5)
?,(Sun) 25 Sep 2005 (38),Ciudad de Murcia (5),0-0,0-0,Castellon (5)
?,(Sun) 25 Sep 2005 (38),Levante UD (5),1-1,0-0,Albacete (5)
?,(Sun) 25 Sep 2005 (38),Lorca (5),1-0,1-0,Gimnastic (5)
?,(Sun) 25 Sep 2005 (38),Poli Ejido (5),0-3,0-0,Murcia (5)
?,(Sun) 25 Sep 2005 (38),Sporting Gijón (5),1-1,0-0,Real Madrid B (5)
?,(Sun) 25 Sep 2005 (38),Tenerife (5),2-1,1-0,Almeria (5)
?,(Sun) 25 Sep 2005 (38),Valladolid (5),1-1,0-0,Malaga B (5)
?,(Sat) 1 Oct 2005 (39),Castellon (6),1-0,0-0,Tenerife (6)
?,(Sat) 1 Oct 2005 (39),Gimnastic (6),1-0,0-0,Levante UD (6)
?,(Sat) 1 Oct 2005 (39),Real Madrid B (6),2-3,1-1,Valladolid (6)
?,(Sun) 2 Oct 2005 (39),Albacete (6),1-0,0-0,Poli Ejido (6)
?,(Sun) 2 Oct 2005 (39),Almeria (6),3-0,1-0,Sporting Gijón (6)
?,(Sun) 2 Oct 2005 (39),Elche (6),3-2,0-1,Lleida (6)
?,(Sun) 2 Oct 2005 (39),Murcia (6),2-1,1-0,Ferrol (6)
?,(Sun) 2 Oct 2005 (39),Numancia (6),1-1,0-0,Ciudad de Murcia (6)
?,(Sun) 2 Oct 2005 (39),Recreativo (6),2-1,0-1,Lorca (6)
?,(Sun) 2 Oct 2005 (39),Xerez (6),1-0,0-0,Hercules (6)
?,(Mon) 3 Oct 2005 (40),Malaga B (6),1-1,0-0,SD Eibar (6)
?,(Sat) 8 Oct 2005 (40),Ferrol (7),2-3,1-1,Albacete (7)
?,(Sat) 8 Oct 2005 (40),Lleida (7),0-1,0-0,Hercules (7)
?,(Sat) 8 Oct 2005 (40),Poli Ejido (7),2-0,1-0,Gimnastic (7)
?,(Sat) 8 Oct 2005 (40),Tenerife (7),2-1,1-0,Numancia (7)
?,(Sun) 9 Oct 2005 (40),Ciudad de Murcia (7),2-6,1-3,Xerez (7)
?,(Sun) 9 Oct 2005 (40),SD Eibar (7),1-3,0-1,Real Madrid B (7)
?,(Sun) 9 Oct 2005 (40),Elche (7),1-1,1-1,Murcia (7)
?,(Sun) 9 Oct 2005 (40),Levante UD (7),1-3,0-0,Recreativo (7)
?,(Sun) 9 Oct 2005 (40),Lorca (7),1-0,0-0,Malaga B (7)
?,(Sun) 9 Oct 2005 (40),Sporting Gijón (7),2-0,0-0,Castellon (7)
?,(Sun) 9 Oct 2005 (40),Valladolid (7),1-0,0-0,Almeria (7)
?,(Sat) 15 Oct 2005 (41),Albacete (8),1-2,0-1,Elche (8)
?,(Sat) 15 Oct 2005 (41),Castellon (8),0-0,0-0,Valladolid (8)
?,(Sat) 15 Oct 2005 (41),Gimnastic (8),1-2,0-1,Ferrol (8)
?,(Sat) 15 Oct 2005 (41),Malaga B (8),0-0,0-0,Levante UD (8)
?,(Sat) 15 Oct 2005 (41),Recreativo (8),2-2,1-1,Poli Ejido (8)
?,(Sun) 16 Oct 2005 (41),Almeria (8),1-1,1-1,SD Eibar (8)
?,(Sun) 16 Oct 2005 (41),Hercules (8),2-1,1-0,Ciudad de Murcia (8)
?,(Sun) 16 Oct 2005 (41),Murcia (8),2-0,1-0,Lleida (8)
?,(Sun) 16 Oct 2005 (41),Numancia (8),1-0,0-0,Sporting Gijón (8)
?,(Sun) 16 Oct 2005 (41),Real Madrid B (8),1-2,0-0,Lorca (8)
?,(Sun) 16 Oct 2005 (41),Xerez (8),3-1,1-1,Tenerife (8)
?,(Sat) 22 Oct 2005 (42),Elche (9),1-0,1-0,Gimnastic (9)
?,(Sat) 22 Oct 2005 (42),Poli Ejido (9),1-2,1-1,Malaga B (9)
?,(Sun) 23 Oct 2005 (42),SD Eibar (9),2-0,1-0,Castellon (9)
?,(Sun) 23 Oct 2005 (42),Ferrol (9),0-3,0-1,Recreativo (9)
?,(Sun) 23 Oct 2005 (42),Levante UD (9),3-0,0-0,Real Madrid B (9)
?,(Sun) 23 Oct 2005 (42),Lleida (9),1-2,0-1,Ciudad de Murcia (9)
?,(Sun) 23 Oct 2005 (42),Lorca (9),1-1,1-0,Almeria (9)
?,(Sun) 23 Oct 2005 (42),Murcia (9),2-0,1-0,Albacete (9)
?,(Sun) 23 Oct 2005 (42),Sporting Gijón (9),1-1,1-0,Xerez (9)
?,(Sun) 23 Oct 2005 (42),Tenerife (9),0-0,0-0,Hercules (9)
?,(Sun) 23 Oct 2005 (42),Valladolid (9),3-1,2-0,Numancia (9)
?,(Sat) 29 Oct 2005 (43),Almeria (10),5-1,2-1,Levante UD (10)
?,(Sat) 29 Oct 2005 (43),Ciudad de Murcia (10),3-0,3-0,Tenerife (10)
?,(Sat) 29 Oct 2005 (43),Gimnastic (10),3-1,1-1,Murcia (10)
?,(Sat) 29 Oct 2005 (43),Hercules (10),3-2,1-1,Sporting Gijón (10)
?,(Sun) 30 Oct 2005 (43),Albacete (10),1-0,1-0,Lleida (10)
?,(Sun) 30 Oct 2005 (43),Castellon (10),0-0,0-0,Lorca (10)
?,(Sun) 30 Oct 2005 (43),Malaga B (10),0-1,0-1,Ferrol (10)
?,(Sun) 30 Oct 2005 (43),Numancia (10),1-2,0-0,SD Eibar (10)
?,(Sun) 30 Oct 2005 (43),Real Madrid B (10),2-0,0-0,Poli Ejido (10)
?,(Sun) 30 Oct 2005 (43),Recreativo (10),2-0,2-0,Elche (10)
?,(Sun) 30 Oct 2005 (43),Xerez (10),0-0,0-0,Valladolid (10)
?,(Sat) 5 Nov 2005 (44),Albacete (11),1-4,0-1,Gimnastic (11)
?,(Sat) 5 Nov 2005 (44),SD Eibar (11),0-1,0-1,Xerez (11)
?,(Sat) 5 Nov 2005 (44),Levante UD (11),3-2,1-1,Castellon (11)
?,(Sat) 5 Nov 2005 (44),Lleida (11),2-1,0-1,Tenerife (11)
?,(Sun) 6 Nov 2005 (44),Elche (11),2-0,1-0,Malaga B (11)
?,(Sun) 6 Nov 2005 (44),Ferrol (11),0-0,0-0,Real Madrid B (11)
?,(Sun) 6 Nov 2005 (44),Lorca (11),1-1,0-0,Numancia (11)
?,(Sun) 6 Nov 2005 (44),Murcia (11),0-2,0-0,Recreativo (11)
?,(Sun) 6 Nov 2005 (44),Poli Ejido (11),0-1,0-0,Almeria (11)
?,(Sun) 6 Nov 2005 (44),Sporting Gijón (11),2-2,0-2,Ciudad de Murcia (11)
?,(Sun) 6 Nov 2005 (44),Valladolid (11),1-1,0-0,Hercules (11)
?,(Sat) 12 Nov 2005 (45),Gimnastic (12),0-2,0-1,Lleida (12)
?,(Sat) 12 Nov 2005 (45),Hercules (12),1-1,0-1,SD Eibar (12)
?,(Sat) 12 Nov 2005 (45),Recreativo (12),1-1,0-0,Albacete (12)
?,(Sun) 13 Nov 2005 (45),Almeria (12),2-1,1-0,Ferrol (12)
?,(Sun) 13 Nov 2005 (45),Castellon (12),2-1,0-0,Poli Ejido (12)
?,(Sun) 13 Nov 2005 (45),Ciudad de Murcia (12),0-2,0-1,Valladolid (12)
?,(Sun) 13 Nov 2005 (45),Malaga B (12),2-0,2-0,Murcia (12)
?,(Sun) 13 Nov 2005 (45),Numancia (12),0-1,0-1,Levante UD (12)
?,(Sun) 13 Nov 2005 (45),Real Madrid B (12),4-0,2-0,Elche (12)
?,(Sun) 13 Nov 2005 (45),Tenerife (12),1-3,0-1,Sporting Gijón (12)
?,(Sun) 13 Nov 2005 (45),Xerez (12),3-0,0-0,Lorca (12)
?,(Sat) 19 Nov 2005 (46),Elche (13),0-0,0-0,Almeria (13)
?,(Sat) 19 Nov 2005 (46),Lleida (13),0-1,0-1,Sporting Gijón (13)
?,(Sat) 19 Nov 2005 (46),Valladolid (13),1-1,1-1,Tenerife (13)
?,(Sun) 20 Nov 2005 (46),Albacete (13),0-1,0-0,Malaga B (13)
?,(Sun) 20 Nov 2005 (46),SD Eibar (13),0-0,0-0,Ciudad de Murcia (13)
?,(Sun) 20 Nov 2005 (46),Ferrol (13),1-1,0-0,Castellon (13)
?,(Sun) 20 Nov 2005 (46),Gimnastic (13),0-0,0-0,Recreativo (13)
?,(Sun) 20 Nov 2005 (46),Levante UD (13),2-3,1-2,Xerez (13)
?,(Sun) 20 Nov 2005 (46),Lorca (13),4-0,2-0,Hercules (13)
?,(Sun) 20 Nov 2005 (46),Murcia (13),1-1,1-1,Real Madrid B (13)
?,(Sun) 20 Nov 2005 (46),Poli Ejido (13),0-1,0-1,Numancia (13)
?,(Sat) 26 Nov 2005 (47),Hercules (14),3-0,2-0,Levante UD (14)
?,(Sat) 26 Nov 2005 (47),Tenerife (14),1-1,0-1,SD Eibar (14)
?,(Sat) 26 Nov 2005 (47),Xerez (14),1-1,0-0,Poli Ejido (14)
?,(Sun) 27 Nov 2005 (47),Almeria (14),2-0,1-0,Murcia (14)
?,(Sun) 27 Nov 2005 (47),Castellon (14),1-1,0-0,Elche (14)
?,(Sun) 27 Nov 2005 (47),Ciudad de Murcia (14),1-0,1-0,Lorca (14)
