Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 28 Aug 2004 (W35),SD Eibar (1),2-1,2-0,Cádiz CF (1)
?,(Sat) 28 Aug 2004 (W35),UE Lleida (1),1-2,0-1,Racing Ferrol (1)
?,(Sat) 28 Aug 2004 (W35),Pontevedra CF (1),0-1,0-0,Polideportivo Ejido (1)
?,(Sat) 28 Aug 2004 (W35),CD Tenerife (1),1-0,0-0,Elche CF (1)
?,(Sun) 29 Aug 2004 (W35),Deportivo Alavés (1),2-4,0-2,Real Valladolid CF (1)
?,(Sun) 29 Aug 2004 (W35),UD Almería (1),0-1,0-0,RC Celta Vigo (1)
?,(Sun) 29 Aug 2004 (W35),CF Ciudad de Murcia (1),1-0,1-0,Córdoba CF (1)
?,(Sun) 29 Aug 2004 (W35),Gimnàstic Tarragona (1),2-0,0-0,Real Murcia CF (1)
?,(Sun) 29 Aug 2004 (W35),Sporting Gijón (1),0-1,0-0,Recreativo Huelva (1)
?,(Sun) 29 Aug 2004 (W35),Terrassa FC (1),3-0,1-0,UD Salamanca (1)
?,(Sun) 29 Aug 2004 (W35),Xerez CD (1),1-0,0-0,Málaga CF B (1)
?,(Sat) 4 Sep 2004 (W36),RC Celta Vigo (2),1-0,0-0,Gimnàstic Tarragona (2)
?,(Sat) 4 Sep 2004 (W36),Elche CF (2),3-1,1-1,CF Ciudad de Murcia (2)
?,(Sat) 4 Sep 2004 (W36),Real Valladolid CF (2),2-1,1-0,CD Tenerife (2)
?,(Sun) 5 Sep 2004 (W36),Cádiz CF (2),0-2,0-2,UE Lleida (2)
?,(Sun) 5 Sep 2004 (W36),Córdoba CF (2),0-0,0-0,Pontevedra CF (2)
?,(Sun) 5 Sep 2004 (W36),Racing Ferrol (2),0-1,0-0,UD Almería (2)
?,(Sun) 5 Sep 2004 (W36),Málaga CF B (2),0-0,0-0,SD Eibar (2)
?,(Sun) 5 Sep 2004 (W36),Real Murcia CF (2),1-3,0-1,Sporting Gijón (2)
?,(Sun) 5 Sep 2004 (W36),Polideportivo Ejido (2),0-0,0-0,Terrassa FC (2)
?,(Sun) 5 Sep 2004 (W36),Recreativo Huelva (2),0-0,0-0,Deportivo Alavés (2)
?,(Sun) 5 Sep 2004 (W36),UD Salamanca (2),1-1,0-0,Xerez CD (2)
?,(Sat) 11 Sep 2004 (W37),Deportivo Alavés (3),1-0,1-0,CD Tenerife (3)
?,(Sat) 11 Sep 2004 (W37),UD Almería (3),0-1,0-1,Cádiz CF (3)
?,(Sat) 11 Sep 2004 (W37),Terrassa FC (3),2-0,1-0,Córdoba CF (3)
?,(Sun) 12 Sep 2004 (W37),CF Ciudad de Murcia (3),2-2,0-1,Real Valladolid CF (3)
?,(Sun) 12 Sep 2004 (W37),SD Eibar (3),2-1,2-1,UD Salamanca (3)
?,(Sun) 12 Sep 2004 (W37),Gimnàstic Tarragona (3),1-1,0-0,Racing Ferrol (3)
?,(Sun) 12 Sep 2004 (W37),UE Lleida (3),2-1,1-1,Málaga CF B (3)
?,(Sun) 12 Sep 2004 (W37),Pontevedra CF (3),2-2,1-0,Elche CF (3)
?,(Sun) 12 Sep 2004 (W37),Recreativo Huelva (3),1-0,0-0,Real Murcia CF (3)
?,(Sun) 12 Sep 2004 (W37),Sporting Gijón (3),1-0,0-0,RC Celta Vigo (3)
?,(Sun) 12 Sep 2004 (W37),Xerez CD (3),1-0,1-0,Polideportivo Ejido (3)
?,(Sat) 18 Sep 2004 (W38),Elche CF (4),1-0,1-0,Terrassa FC (4)
?,(Sat) 18 Sep 2004 (W38),Racing Ferrol (4),0-0,0-0,Sporting Gijón (4)
?,(Sat) 18 Sep 2004 (W38),Málaga CF B (4),1-2,0-0,UD Almería (4)
?,(Sat) 18 Sep 2004 (W38),Polideportivo Ejido (4),4-1,0-1,SD Eibar (4)
?,(Sat) 18 Sep 2004 (W38),UD Salamanca (4),0-1,0-1,UE Lleida (4)
?,(Sun) 19 Sep 2004 (W38),Cádiz CF (4),2-1,0-0,Gimnàstic Tarragona (4)
?,(Sun) 19 Sep 2004 (W38),RC Celta Vigo (4),1-1,1-1,Recreativo Huelva (4)
?,(Sun) 19 Sep 2004 (W38),Córdoba CF (4),1-2,0-1,Xerez CD (4)
?,(Sun) 19 Sep 2004 (W38),Real Murcia CF (4),1-5,1-3,Deportivo Alavés (4)
?,(Sun) 19 Sep 2004 (W38),CD Tenerife (4),1-0,1-0,CF Ciudad de Murcia (4)
?,(Sun) 19 Sep 2004 (W38),Real Valladolid CF (4),0-1,0-0,Pontevedra CF (4)
?,(Sat) 25 Sep 2004 (W39),Deportivo Alavés (5),1-1,1-1,CF Ciudad de Murcia (5)
?,(Sat) 25 Sep 2004 (W39),Gimnàstic Tarragona (5),0-2,0-2,Málaga CF B (5)
?,(Sat) 25 Sep 2004 (W39),Pontevedra CF (5),1-1,0-0,CD Tenerife (5)
?,(Sat) 25 Sep 2004 (W39),Xerez CD (5),1-1,0-1,Elche CF (5)
?,(Sun) 26 Sep 2004 (W39),UD Almería (5),0-1,0-0,UD Salamanca (5)
?,(Sun) 26 Sep 2004 (W39),SD Eibar (5),1-0,0-0,Córdoba CF (5)
?,(Sun) 26 Sep 2004 (W39),UE Lleida (5),0-1,0-1,Polideportivo Ejido (5)
?,(Sun) 26 Sep 2004 (W39),Real Murcia CF (5),1-1,0-0,RC Celta Vigo (5)
?,(Sun) 26 Sep 2004 (W39),Recreativo Huelva (5),0-1,0-0,Racing Ferrol (5)
?,(Sun) 26 Sep 2004 (W39),Sporting Gijón (5),0-0,0-0,Cádiz CF (5)
?,(Sun) 26 Sep 2004 (W39),Terrassa FC (5),2-1,1-1,Real Valladolid CF (5)
?,(Sat) 2 Oct 2004 (W40),RC Celta Vigo (6),2-2,2-2,Deportivo Alavés (6)
?,(Sat) 2 Oct 2004 (W40),Córdoba CF (6),0-1,0-1,UE Lleida (6)
?,(Sun) 3 Oct 2004 (W40),Cádiz CF (6),0-0,0-0,Recreativo Huelva (6)
?,(Sun) 3 Oct 2004 (W40),CF Ciudad de Murcia (6),2-3,1-1,Pontevedra CF (6)
?,(Sun) 3 Oct 2004 (W40),Elche CF (6),1-0,1-0,SD Eibar (6)
?,(Sun) 3 Oct 2004 (W40),Racing Ferrol (6),3-1,0-1,Real Murcia CF (6)
?,(Sun) 3 Oct 2004 (W40),Polideportivo Ejido (6),2-0,1-0,UD Almería (6)
?,(Sun) 3 Oct 2004 (W40),UD Salamanca (6),0-1,0-1,Gimnàstic Tarragona (6)
?,(Sun) 3 Oct 2004 (W40),CD Tenerife (6),2-1,2-0,Terrassa FC (6)
?,(Sun) 3 Oct 2004 (W40),Real Valladolid CF (6),1-1,1-0,Xerez CD (6)
?,(Mon) 4 Oct 2004 (W41),Málaga CF B (6),1-0,0-0,Sporting Gijón (6)
?,(Sat) 9 Oct 2004 (W41),RC Celta Vigo (7),1-1,1-1,Racing Ferrol (7)
?,(Sat) 9 Oct 2004 (W41),SD Eibar (7),2-0,2-0,Real Valladolid CF (7)
?,(Sat) 9 Oct 2004 (W41),UE Lleida (7),1-2,0-0,Elche CF (7)
?,(Sat) 9 Oct 2004 (W41),Recreativo Huelva (7),0-1,0-1,Málaga CF B (7)
?,(Sun) 10 Oct 2004 (W41),Deportivo Alavés (7),3-2,1-0,Pontevedra CF (7)
?,(Sun) 10 Oct 2004 (W41),UD Almería (7),2-0,1-0,Córdoba CF (7)
?,(Sun) 10 Oct 2004 (W41),Gimnàstic Tarragona (7),1-4,0-2,Polideportivo Ejido (7)
?,(Sun) 10 Oct 2004 (W41),Real Murcia CF (7),0-2,0-0,Cádiz CF (7)
?,(Sun) 10 Oct 2004 (W41),Sporting Gijón (7),1-2,1-1,UD Salamanca (7)
?,(Sun) 10 Oct 2004 (W41),Terrassa FC (7),0-1,0-0,CF Ciudad de Murcia (7)
?,(Sun) 10 Oct 2004 (W41),Xerez CD (7),1-1,0-0,CD Tenerife (7)
?,(Sat) 16 Oct 2004 (W42),Málaga CF B (8),0-2,0-2,Real Murcia CF (8)
?,(Sat) 16 Oct 2004 (W42),Polideportivo Ejido (8),1-1,0-1,Sporting Gijón (8)
?,(Sat) 16 Oct 2004 (W42),Pontevedra CF (8),3-3,1-2,Terrassa FC (8)
?,(Sat) 16 Oct 2004 (W42),CD Tenerife (8),1-1,0-1,SD Eibar (8)
?,(Sun) 17 Oct 2004 (W42),Cádiz CF (8),2-0,1-0,RC Celta Vigo (8)
?,(Sun) 17 Oct 2004 (W42),CF Ciudad de Murcia (8),0-2,0-1,Xerez CD (8)
?,(Sun) 17 Oct 2004 (W42),Córdoba CF (8),2-0,0-0,Gimnàstic Tarragona (8)
?,(Sun) 17 Oct 2004 (W42),Elche CF (8),0-0,0-0,UD Almería (8)
?,(Sun) 17 Oct 2004 (W42),Racing Ferrol (8),2-1,0-0,Deportivo Alavés (8)
?,(Sun) 17 Oct 2004 (W42),UD Salamanca (8),1-0,1-0,Recreativo Huelva (8)
?,(Sun) 17 Oct 2004 (W42),Real Valladolid CF (8),1-1,0-1,UE Lleida (8)
?,(Sat) 23 Oct 2004 (W43),SD Eibar (9),3-2,3-0,CF Ciudad de Murcia (9)
?,(Sat) 23 Oct 2004 (W43),Gimnàstic Tarragona (9),2-0,1-0,Elche CF (9)
?,(Sat) 23 Oct 2004 (W43),UE Lleida (9),1-1,0-0,CD Tenerife (9)
?,(Sat) 23 Oct 2004 (W43),Xerez CD (9),1-0,1-0,Pontevedra CF (9)
?,(Sun) 24 Oct 2004 (W43),Deportivo Alavés (9),4-1,3-1,Terrassa FC (9)
?,(Sun) 24 Oct 2004 (W43),UD Almería (9),0-0,0-0,Real Valladolid CF (9)
?,(Sun) 24 Oct 2004 (W43),RC Celta Vigo (9),0-0,0-0,Málaga CF B (9)
?,(Sun) 24 Oct 2004 (W43),Racing Ferrol (9),1-1,1-1,Cádiz CF (9)
?,(Sun) 24 Oct 2004 (W43),Real Murcia CF (9),0-0,0-0,UD Salamanca (9)
?,(Sun) 24 Oct 2004 (W43),Recreativo Huelva (9),1-1,1-1,Polideportivo Ejido (9)
?,(Sun) 24 Oct 2004 (W43),Sporting Gijón (9),3-1,0-1,Córdoba CF (9)
?,(Sat) 30 Oct 2004 (W44),Cádiz CF (10),0-1,0-0,Deportivo Alavés (10)
?,(Sun) 31 Oct 2004 (W44),CF Ciudad de Murcia (10),1-2,0-0,UE Lleida (10)
?,(Sun) 31 Oct 2004 (W44),Córdoba CF (10),0-2,0-1,Recreativo Huelva (10)
?,(Sun) 31 Oct 2004 (W44),Elche CF (10),4-0,1-0,Sporting Gijón (10)
?,(Sun) 31 Oct 2004 (W44),Málaga CF B (10),1-1,1-1,Racing Ferrol (10)
?,(Sun) 31 Oct 2004 (W44),Polideportivo Ejido (10),1-1,0-1,Real Murcia CF (10)
?,(Sun) 31 Oct 2004 (W44),Pontevedra CF (10),2-3,0-2,SD Eibar (10)
?,(Sun) 31 Oct 2004 (W44),UD Salamanca (10),0-1,0-1,RC Celta Vigo (10)
?,(Sun) 31 Oct 2004 (W44),CD Tenerife (10),1-3,0-1,UD Almería (10)
?,(Sun) 31 Oct 2004 (W44),Terrassa FC (10),0-1,0-0,Xerez CD (10)
?,(Sun) 31 Oct 2004 (W44),Real Valladolid CF (10),1-0,0-0,Gimnàstic Tarragona (10)
?,(Sat) 6 Nov 2004 (W45),Deportivo Alavés (11),2-0,0-0,Xerez CD (11)
?,(Sat) 6 Nov 2004 (W45),Cádiz CF (11),4-0,1-0,Málaga CF B (11)
?,(Sat) 6 Nov 2004 (W45),Racing Ferrol (11),2-1,0-0,UD Salamanca (11)
?,(Sat) 6 Nov 2004 (W45),Gimnàstic Tarragona (11),1-0,1-0,CD Tenerife (11)
?,(Sun) 7 Nov 2004 (W45),UD Almería (11),0-0,0-0,CF Ciudad de Murcia (11)
?,(Sun) 7 Nov 2004 (W45),RC Celta Vigo (11),1-0,0-0,Polideportivo Ejido (11)
?,(Sun) 7 Nov 2004 (W45),SD Eibar (11),1-0,1-0,Terrassa FC (11)
?,(Sun) 7 Nov 2004 (W45),UE Lleida (11),3-0,0-0,Pontevedra CF (11)
?,(Sun) 7 Nov 2004 (W45),Real Murcia CF (11),1-0,0-0,Córdoba CF (11)
