Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 25 Aug 2007 (34),Ferrol (1),1-1,0-1,SD Eibar (1)
?,(Sat) 25 Aug 2007 (34),Hercules (1),2-2,2-0,Xerez (1)
?,(Sat) 25 Aug 2007 (34),Numancia (1),3-0,1-0,UD Las Palmas (1)
?,(Sun) 26 Aug 2007 (34),Albacete (1),0-1,0-1,Elche (1)
?,(Sun) 26 Aug 2007 (34),Cadiz (1),2-0,0-0,Granada 74 (1)
?,(Sun) 26 Aug 2007 (34),RC Celta Vigo (1),1-1,0-0,Cordoba (1)
?,(Sun) 26 Aug 2007 (34),Gimnastic (1),2-0,1-0,Alaves (1)
?,(Sun) 26 Aug 2007 (34),Málaga CF (1),3-0,1-0,Salamanca (1)
?,(Sun) 26 Aug 2007 (34),Sevilla B (1),1-1,1-0,Tenerife (1)
?,(Sun) 26 Aug 2007 (34),Real Sociedad (1),0-2,0-1,Castellon (1)
?,(Sun) 26 Aug 2007 (34),Sporting Gijón (1),4-0,1-0,Poli Ejido (1)
?,(Sun) 2 Sep 2007 (35),Alaves (2),0-1,0-0,Málaga CF (2)
?,(Sun) 2 Sep 2007 (35),Castellon (2),2-1,0-0,RC Celta Vigo (2)
?,(Sun) 2 Sep 2007 (35),Granada 74 (2),2-3,1-1,Hercules (2)
?,(Sun) 2 Sep 2007 (35),Cordoba (2),2-2,1-1,Gimnastic (2)
?,(Sun) 2 Sep 2007 (35),SD Eibar (2),0-1,0-0,Real Sociedad (2)
?,(Sun) 2 Sep 2007 (35),Elche (2),1-1,0-0,Numancia (2)
?,(Sun) 2 Sep 2007 (35),UD Las Palmas (2),2-2,0-1,Sporting Gijón (2)
?,(Sun) 2 Sep 2007 (35),Poli Ejido (2),1-3,0-2,Ferrol (2)
?,(Sun) 2 Sep 2007 (35),Salamanca (2),0-1,0-1,Sevilla B (2)
?,(Sun) 2 Sep 2007 (35),Tenerife (2),2-0,1-0,Cadiz (2)
?,(Sun) 2 Sep 2007 (35),Xerez (2),1-1,1-1,Albacete (2)
?,(Sat) 8 Sep 2007 (36),RC Celta Vigo (3),0-1,0-0,SD Eibar (3)
?,(Sat) 8 Sep 2007 (36),Gimnastic (3),1-0,0-0,Castellon (3)
?,(Sat) 8 Sep 2007 (36),Granada 74 (3),4-1,1-1,Tenerife (3)
?,(Sat) 8 Sep 2007 (36),Málaga CF (3),4-1,2-1,Cordoba (3)
?,(Sun) 9 Sep 2007 (36),Cadiz (3),1-0,1-0,Salamanca (3)
?,(Sun) 9 Sep 2007 (36),Ferrol (3),3-1,1-0,UD Las Palmas (3)
?,(Sun) 9 Sep 2007 (36),Hercules (3),2-0,1-0,Albacete (3)
?,(Sun) 9 Sep 2007 (36),Numancia (3),2-1,2-1,Xerez (3)
?,(Sun) 9 Sep 2007 (36),Sevilla B (3),1-0,1-0,Alaves (3)
