Round,Date,Team 1,FT,Team 2
1,Fri Aug 17 2018,Cádiz CF,1-0,UD Almería
1,Fri Aug 17 2018,Albacete Balompié,1-1,RCD La Coruña
1,Sat Aug 18 2018,Elche CF,0-0,Granada CF
1,Sat Aug 18 2018,CD Lugo,1-2,Málaga CF
1,Sat Aug 18 2018,AD Alcorcón,1-1,Sporting Gijón
1,Sat Aug 18 2018,Córdoba CF,3-3,CD Numancia
1,Sun Aug 19 2018,RCD Mallorca,1-0,CA Osasuna
1,Sun Aug 19 2018,Real Oviedo,1-1,Extremadura UD
1,Sun Aug 19 2018,Real Zaragoza,2-1,CF Rayo Majadahonda
1,Sun Aug 19 2018,UD Las Palmas,2-0,CF Reus
1,Mon Aug 20 2018,Gimnàstic Tarragona,1-1,CD Tenerife
2,Fri Aug 24 2018,Málaga CF,1-0,AD Alcorcón
2,Fri Aug 24 2018,Extremadura UD,0-1,RCD La Coruña
2,Sat Aug 25 2018,CF Reus,0-0,Real Zaragoza
2,Sat Aug 25 2018,CD Numancia,1-1,Cádiz CF
2,Sat Aug 25 2018,UD Las Palmas,1-1,Albacete Balompié
2,Sat Aug 25 2018,Córdoba CF,2-4,Real Oviedo
2,Sun Aug 26 2018,Sporting Gijón,2-0,Gimnàstic Tarragona
2,Sun Aug 26 2018,CA Osasuna,1-1,Elche CF
2,Sun Aug 26 2018,Granada CF,1-1,CD Lugo
2,Sun Aug 26 2018,UD Almería,1-1,CD Tenerife
2,Mon Aug 27 2018,CF Rayo Majadahonda,0-1,RCD Mallorca
3,Fri Aug 31 2018,AD Alcorcón,1-0,RCD Mallorca
3,Sat Sep 1 2018,CD Lugo,3-2,CD Numancia
3,Sat Sep 1 2018,Elche CF,0-2,CF Reus
3,Sat Sep 1 2018,Real Zaragoza,1-1,UD Las Palmas
3,Sat Sep 1 2018,Cádiz CF,1-1,Real Oviedo
3,Sat Sep 1 2018,CD Tenerife,2-2,RCD La Coruña
3,Sun Sep 2 2018,Gimnàstic Tarragona,0-1,CF Rayo Majadahonda
3,Sun Sep 2 2018,Sporting Gijón,2-0,Extremadura UD
3,Sun Sep 2 2018,Albacete Balompié,3-0,Córdoba CF
3,Sun Sep 2 2018,Granada CF,2-0,CA Osasuna
3,Mon Sep 3 2018,UD Almería,0-1,Málaga CF
4,Fri Sep 7 2018,UD Las Palmas,4-0,Gimnàstic Tarragona
4,Fri Sep 7 2018,RCD Mallorca,1-0,Cádiz CF
4,Sat Sep 8 2018,CA Osasuna,3-1,UD Almería
4,Sat Sep 8 2018,Málaga CF,1-0,CD Tenerife
