Date,Team 1,Team 2,FT,HT
2011-08-27,Granada,Betis,0-1,0-0
2011-08-27,Sp Gijon,Sociedad,1-2,0-1
2011-08-27,Valencia,Santander,4-3,1-2
2011-08-28,Ath Bilbao,Vallecano,1-1,0-0
2011-08-28,Ath Madrid,Osasuna,0-0,0-0
2011-08-28,Getafe,Levante,1-1,0-0
2011-08-28,Mallorca,Espanol,1-0,0-0
2011-08-28,Sevilla,Malaga,2-1,2-0
2011-08-28,Zaragoza,Real Madrid,0-6,0-2
2011-08-29,Barcelona,Villarreal,5-0,2-0
2011-09-10,Real Madrid,Getafe,4-2,1-1
2011-09-10,Sociedad,Barcelona,2-2,0-2
2011-09-10,Valencia,Ath Madrid,1-0,0-0
2011-09-10,Villarreal,Sevilla,2-2,1-1
2011-09-11,Betis,Mallorca,1-0,0-0
2011-09-11,Espanol,Ath Bilbao,2-1,1-0
2011-09-11,Osasuna,Sp Gijon,2-1,2-0
2011-09-11,Santander,Levante,0-0,0-0
2011-09-11,Vallecano,Zaragoza,0-0,0-0
2011-09-12,Malaga,Granada,4-0,2-0
2011-09-17,Barcelona,Osasuna,8-0,5-0
2011-09-17,Granada,Villarreal,1-0,0-0
2011-09-17,Mallorca,Malaga,0-1,0-1
2011-09-17,Sevilla,Sociedad,1-0,0-0
2011-09-17,Sp Gijon,Valencia,0-1,0-1
2011-09-18,Ath Bilbao,Betis,2-3,1-3
2011-09-18,Ath Madrid,Santander,4-0,2-0
2011-09-18,Getafe,Vallecano,0-1,0-1
2011-09-18,Levante,Real Madrid,1-0,0-0
2011-09-18,Zaragoza,Espanol,2-1,1-0
2011-09-20,Osasuna,Sevilla,0-0,0-0
2011-09-20,Sociedad,Granada,1-0,0-0
2011-09-20,Villarreal,Mallorca,2-0,1-0
2011-09-21,Ath Madrid,Sp Gijon,4-0,1-0
2011-09-21,Malaga,Ath Bilbao,1-0,0-0
2011-09-21,Santander,Real Madrid,0-0,0-0
2011-09-21,Valencia,Barcelona,2-2,2-1
2011-09-21,Vallecano,Levante,1-2,0-2
2011-09-22,Betis,Zaragoza,4-3,2-1
2011-09-22,Espanol,Getafe,1-0,0-0
2011-09-24,Ath Bilbao,Villarreal,1-1,1-0
2011-09-24,Barcelona,Ath Madrid,5-0,3-0
2011-09-24,Real Madrid,Vallecano,6-2,2-1
