Round,Date,Team 1,FT,Team 2
1,Sat Sep 12 2020,SD Ponferradina,1-2,CD Castellón
1,Sat Sep 12 2020,CD Leganés,1-0,UD Las Palmas
1,Sat Sep 12 2020,Sporting Gijón,1-0,UD Logroñés
1,Sat Sep 12 2020,RCD Espanyol,3-0,Albacete Balompié
1,Sun Sep 13 2020,Real Oviedo,0-0,FC Cartagena
1,Sun Sep 13 2020,RCD Mallorca,0-1,Rayo Vallecano
1,Sun Sep 13 2020,CD Mirandés,0-0,AD Alcorcón
1,Sun Sep 13 2020,CF Fuenlabrada,2-0,CD Lugo
1,Sun Sep 13 2020,CD Tenerife,2-0,Málaga CF
2,Sat Sep 19 2020,CD Mirandés,1-1,Real Oviedo
2,Sat Sep 19 2020,AD Alcorcón,2-0,CD Tenerife
2,Sat Sep 19 2020,CD Castellón,0-1,Málaga CF
2,Sat Sep 19 2020,Rayo Vallecano,2-1,CE Sabadell
2,Sun Sep 20 2020,Girona FC,,UD Logroñés
2,Sun Sep 20 2020,UD Almería,,Real Zaragoza
2,Sun Sep 20 2020,CD Lugo,2-1,CD Leganés
2,Sun Sep 20 2020,RCD Espanyol,0-0,RCD Mallorca
2,Sun Sep 20 2020,Albacete Balompié,0-2,SD Ponferradina
2,Sun Sep 20 2020,FC Cartagena,0-1,Sporting Gijón
2,Sun Sep 20 2020,UD Las Palmas,3-3,CF Fuenlabrada
3,Sat Sep 26 2020,Real Zaragoza,2-2,UD Las Palmas
3,Sat Sep 26 2020,Málaga CF,1-0,AD Alcorcón
3,Sat Sep 26 2020,Sporting Gijón,2-0,Girona FC
3,Sat Sep 26 2020,UD Logroñés,1-1,CD Castellón
3,Sat Sep 26 2020,CF Fuenlabrada,1-0,Albacete Balompié
3,Sun Sep 27 2020,CD Lugo,0-2,UD Almería
3,Sun Sep 27 2020,RCD Mallorca,1-0,CE Sabadell
3,Sun Sep 27 2020,CD Tenerife,1-2,CD Mirandés
3,Sun Sep 27 2020,Real Oviedo,0-2,RCD Espanyol
3,Sun Sep 27 2020,SD Ponferradina,3-0,Rayo Vallecano
3,Sun Sep 27 2020,CD Leganés,3-1,FC Cartagena
4,Sat Oct 3 2020,AD Alcorcón,0-3,Real Zaragoza
4,Sat Oct 3 2020,CD Mirandés,0-1,SD Ponferradina
4,Sat Oct 3 2020,Albacete Balompié,1-1,Real Oviedo
