Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 19 Aug 2016 (33),UD Almería (1),1-1,0-0,Cádiz CF (1)
?,(Fri) 19 Aug 2016 (33),CD Mirandés (1),1-1,0-0,Getafe CF (1)
?,(Sat) 20 Aug 2016 (33),AD Alcorcón (1),0-0,0-0,SD Huesca (1)
?,(Sat) 20 Aug 2016 (33),Córdoba CF (1),1-0,1-0,CD Tenerife (1)
?,(Sat) 20 Aug 2016 (33),Elche CF (1),2-1,2-1,Rayo Vallecano (1)
?,(Sat) 20 Aug 2016 (33),RCD Mallorca (1),0-1,0-0,CF Reus (1)
?,(Sun) 21 Aug 2016 (33),Gimnàstic Tarragona (1),2-2,0-2,CD Lugo (1)
?,(Sun) 21 Aug 2016 (33),CD Numancia (1),0-1,0-0,Levante UD (1)
?,(Sun) 21 Aug 2016 (33),Sevilla FC B (1),3-3,1-0,Girona FC (1)
?,(Sun) 21 Aug 2016 (33),Real Valladolid CF (1),1-0,1-0,Real Oviedo (1)
?,(Mon) 22 Aug 2016 (34),Real Zaragoza (1),3-1,3-0,UCAM Murcia (1)
?,(Fri) 26 Aug 2016 (34),Getafe CF (2),0-0,0-0,CD Numancia (2)
?,(Fri) 26 Aug 2016 (34),CD Tenerife (2),1-1,0-1,Sevilla FC B (2)
?,(Sat) 27 Aug 2016 (34),Girona FC (2),3-1,2-0,Elche CF (2)
?,(Sat) 27 Aug 2016 (34),CD Lugo (2),3-3,1-1,Real Zaragoza (2)
?,(Sat) 27 Aug 2016 (34),Real Oviedo (2),2-0,0-0,UD Almería (2)
?,(Sat) 27 Aug 2016 (34),CF Reus (2),1-1,1-1,CD Mirandés (2)
?,(Sun) 28 Aug 2016 (34),Cádiz CF (2),1-1,1-0,RCD Mallorca (2)
?,(Sun) 28 Aug 2016 (34),SD Huesca (2),1-1,0-0,Gimnàstic Tarragona (2)
?,(Sun) 28 Aug 2016 (34),Levante UD (2),2-0,2-0,AD Alcorcón (2)
?,(Sun) 28 Aug 2016 (34),UCAM Murcia (2),1-1,0-0,Córdoba CF (2)
?,(Sun) 28 Aug 2016 (34),Rayo Vallecano (2),0-0,0-0,Real Valladolid CF (2)
?,(Fri) 2 Sep 2016 (35),Córdoba CF (3),3-3,1-1,CD Lugo (3)
?,(Fri) 2 Sep 2016 (35),Sevilla FC B (3),1-1,0-0,UCAM Murcia (3)
?,(Sat) 3 Sep 2016 (35),UD Almería (3),3-0,2-0,Rayo Vallecano (3)
?,(Sat) 3 Sep 2016 (35),Elche CF (3),3-1,1-0,CD Tenerife (3)
?,(Sat) 3 Sep 2016 (35),Getafe CF (3),1-1,0-0,CF Reus (3)
?,(Sat) 3 Sep 2016 (35),CD Mirandés (3),3-2,0-2,Cádiz CF (3)
?,(Sat) 3 Sep 2016 (35),Real Valladolid CF (3),2-1,2-0,Girona FC (3)
