Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 31 Aug 2002 (34),Almeria (1),1-2,1-0,Salamanca (1)
?,(Sat) 31 Aug 2002 (34),Elche (1),0-1,0-0,Xerez (1)
?,(Sat) 31 Aug 2002 (34),Getafe CF (1),2-2,0-2,Levante UD (1)
?,(Sat) 31 Aug 2002 (34),UD Las Palmas (1),2-0,2-0,Ferrol (1)
?,(Sat) 31 Aug 2002 (34),Terrassa (1),1-1,1-1,Albacete (1)
?,(Sun) 1 Sep 2002 (34),Badajoz (1),0-0,0-0,Leganes (1)
?,(Sun) 1 Sep 2002 (34),Compostela (1),1-1,1-0,Tenerife (1)
?,(Sun) 1 Sep 2002 (34),SD Eibar (1),0-0,0-0,Poli Ejido (1)
?,(Sun) 1 Sep 2002 (34),Numancia (1),1-0,1-0,Sporting Gijón (1)
?,(Sun) 1 Sep 2002 (34),Oviedo (1),0-1,0-0,Murcia (1)
?,(Sun) 1 Sep 2002 (34),Zaragoza (1),0-0,0-0,Cordoba (1)
?,(Sat) 14 Sep 2002 (36),Cordoba (2),3-0,1-0,Almeria (2)
?,(Sat) 14 Sep 2002 (36),Ferrol (2),1-1,1-1,Compostela (2)
?,(Sat) 14 Sep 2002 (36),Tenerife (2),1-1,0-1,Oviedo (2)
?,(Sun) 15 Sep 2002 (36),Albacete (2),1-0,1-0,Badajoz (2)
?,(Sun) 15 Sep 2002 (36),Leganes (2),2-1,0-0,Numancia (2)
?,(Sun) 15 Sep 2002 (36),Levante UD (2),3-2,0-0,Zaragoza (2)
?,(Sun) 15 Sep 2002 (36),Murcia (2),2-0,1-0,Getafe CF (2)
?,(Sun) 15 Sep 2002 (36),Poli Ejido (2),1-2,0-1,Terrassa (2)
?,(Sun) 15 Sep 2002 (36),Salamanca (2),0-0,0-0,SD Eibar (2)
?,(Sun) 15 Sep 2002 (36),Sporting Gijón (2),0-0,0-0,Elche (2)
?,(Sun) 15 Sep 2002 (36),Xerez (2),2-2,0-1,UD Las Palmas (2)
?,(Sat) 21 Sep 2002 (37),Almeria (3),2-2,2-0,Levante UD (3)
?,(Sat) 21 Sep 2002 (37),SD Eibar (3),1-0,0-0,Cordoba (3)
?,(Sat) 21 Sep 2002 (37),UD Las Palmas (3),1-1,0-1,Compostela (3)
?,(Sat) 21 Sep 2002 (37),Numancia (3),1-2,0-1,Albacete (3)
?,(Sat) 21 Sep 2002 (37),Oviedo (3),1-2,0-0,Ferrol (3)
?,(Sun) 22 Sep 2002 (37),Badajoz (3),0-2,0-1,Poli Ejido (3)
?,(Sun) 22 Sep 2002 (37),Elche (3),1-1,1-1,Leganes (3)
?,(Sun) 22 Sep 2002 (37),Getafe CF (3),2-1,1-1,Tenerife (3)
?,(Sun) 22 Sep 2002 (37),Terrassa (3),1-0,1-0,Salamanca (3)
?,(Sun) 22 Sep 2002 (37),Xerez (3),1-0,0-0,Sporting Gijón (3)
?,(Sun) 22 Sep 2002 (37),Zaragoza (3),1-0,0-0,Murcia (3)
?,(Sat) 28 Sep 2002 (38),Compostela (4),0-1,0-0,Oviedo (4)
?,(Sat) 28 Sep 2002 (38),Cordoba (4),0-2,0-0,Terrassa (4)
?,(Sat) 28 Sep 2002 (38),Leganes (4),1-2,1-2,Xerez (4)
?,(Sat) 28 Sep 2002 (38),Levante UD (4),3-1,1-1,SD Eibar (4)
?,(Sun) 29 Sep 2002 (38),Albacete (4),1-1,0-1,Elche (4)
?,(Sun) 29 Sep 2002 (38),Ferrol (4),2-1,1-0,Getafe CF (4)
?,(Sun) 29 Sep 2002 (38),Murcia (4),3-0,2-0,Almeria (4)
?,(Sun) 29 Sep 2002 (38),Poli Ejido (4),3-2,1-2,Numancia (4)
?,(Sun) 29 Sep 2002 (38),Salamanca (4),0-1,0-0,Badajoz (4)
?,(Sun) 29 Sep 2002 (38),Sporting Gijón (4),0-0,0-0,UD Las Palmas (4)
?,(Sun) 29 Sep 2002 (38),Tenerife (4),2-0,0-0,Zaragoza (4)
?,(Sat) 5 Oct 2002 (39),Getafe CF (5),2-0,0-0,Compostela (5)
?,(Sat) 5 Oct 2002 (39),UD Las Palmas (5),2-0,1-0,Oviedo (5)
?,(Sat) 5 Oct 2002 (39),Xerez (5),1-0,0-0,Albacete (5)
?,(Sun) 6 Oct 2002 (39),Almeria (5),1-1,1-0,Tenerife (5)
?,(Sun) 6 Oct 2002 (39),Badajoz (5),2-0,2-0,Cordoba (5)
?,(Sun) 6 Oct 2002 (39),SD Eibar (5),1-1,0-0,Murcia (5)
?,(Sun) 6 Oct 2002 (39),Elche (5),3-0,0-0,Poli Ejido (5)
?,(Sun) 6 Oct 2002 (39),Numancia (5),1-0,1-0,Salamanca (5)
?,(Sun) 6 Oct 2002 (39),Sporting Gijón (5),1-1,1-1,Leganes (5)
?,(Sun) 6 Oct 2002 (39),Terrassa (5),1-1,1-0,Levante UD (5)
?,(Sun) 6 Oct 2002 (39),Zaragoza (5),2-2,2-1,Ferrol (5)
?,(Sat) 12 Oct 2002 (40),Leganes (6),1-1,0-1,UD Las Palmas (6)
?,(Sat) 12 Oct 2002 (40),Poli Ejido (6),2-0,1-0,Xerez (6)
?,(Sun) 13 Oct 2002 (40),Albacete (6),4-0,1-0,Sporting Gijón (6)
?,(Sun) 13 Oct 2002 (40),Compostela (6),0-0,0-0,Zaragoza (6)
?,(Sun) 13 Oct 2002 (40),Cordoba (6),1-1,0-1,Numancia (6)
?,(Sun) 13 Oct 2002 (40),Ferrol (6),1-1,0-1,Almeria (6)
?,(Sun) 13 Oct 2002 (40),Levante UD (6),4-0,3-0,Badajoz (6)
?,(Sun) 13 Oct 2002 (40),Murcia (6),0-0,0-0,Terrassa (6)
?,(Sun) 13 Oct 2002 (40),Oviedo (6),3-4,3-2,Getafe CF (6)
?,(Sun) 13 Oct 2002 (40),Salamanca (6),1-3,1-0,Elche (6)
?,(Sun) 13 Oct 2002 (40),Tenerife (6),1-0,1-0,SD Eibar (6)
?,(Sat) 19 Oct 2002 (41),SD Eibar (7),1-0,1-0,Ferrol (7)
?,(Sat) 19 Oct 2002 (41),Elche (7),0-0,0-0,Cordoba (7)
?,(Sat) 19 Oct 2002 (41),UD Las Palmas (7),2-1,2-1,Getafe CF (7)
?,(Sun) 20 Oct 2002 (41),Almeria (7),2-1,0-1,Compostela (7)
?,(Sun) 20 Oct 2002 (41),Badajoz (7),1-0,1-0,Murcia (7)
?,(Sun) 20 Oct 2002 (41),Leganes (7),1-1,0-0,Albacete (7)
?,(Sun) 20 Oct 2002 (41),Numancia (7),0-2,0-1,Levante UD (7)
?,(Sun) 20 Oct 2002 (41),Sporting Gijón (7),1-1,0-0,Poli Ejido (7)
?,(Sun) 20 Oct 2002 (41),Terrassa (7),1-1,1-1,Tenerife (7)
?,(Sun) 20 Oct 2002 (41),Xerez (7),0-1,0-1,Salamanca (7)
?,(Sun) 20 Oct 2002 (41),Zaragoza (7),3-1,0-0,Oviedo (7)
?,(Sat) 26 Oct 2002 (42),Levante UD (8),2-2,1-0,Elche (8)
?,(Sat) 26 Oct 2002 (42),Poli Ejido (8),1-0,0-0,Leganes (8)
?,(Sun) 27 Oct 2002 (42),Albacete (8),2-1,1-0,UD Las Palmas (8)
?,(Sun) 27 Oct 2002 (42),Compostela (8),1-0,1-0,SD Eibar (8)
?,(Sun) 27 Oct 2002 (42),Cordoba (8),1-3,1-2,Xerez (8)
?,(Sun) 27 Oct 2002 (42),Ferrol (8),1-1,0-1,Terrassa (8)
?,(Sun) 27 Oct 2002 (42),Getafe CF (8),1-2,0-0,Zaragoza (8)
?,(Sun) 27 Oct 2002 (42),Murcia (8),2-1,0-0,Numancia (8)
?,(Sun) 27 Oct 2002 (42),Oviedo (8),1-1,1-0,Almeria (8)
?,(Sun) 27 Oct 2002 (42),Salamanca (8),0-0,0-0,Sporting Gijón (8)
?,(Sun) 27 Oct 2002 (42),Tenerife (8),3-3,0-1,Badajoz (8)
?,(Sat) 2 Nov 2002 (43),Albacete (9),1-1,1-1,Poli Ejido (9)
?,(Sat) 2 Nov 2002 (43),Badajoz (9),1-0,1-0,Ferrol (9)
?,(Sat) 2 Nov 2002 (43),SD Eibar (9),2-1,2-1,Oviedo (9)
?,(Sat) 2 Nov 2002 (43),UD Las Palmas (9),0-1,0-0,Zaragoza (9)
?,(Sat) 2 Nov 2002 (43),Terrassa (9),2-1,1-1,Compostela (9)
?,(Sat) 2 Nov 2002 (43),Xerez (9),2-1,1-1,Levante UD (9)
?,(Sun) 3 Nov 2002 (43),Almeria (9),1-1,1-0,Getafe CF (9)
?,(Sun) 3 Nov 2002 (43),Elche (9),0-2,0-0,Murcia (9)
?,(Sun) 3 Nov 2002 (43),Leganes (9),0-2,0-1,Salamanca (9)
?,(Sun) 3 Nov 2002 (43),Numancia (9),1-0,0-0,Tenerife (9)
