Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 23 Aug 2014 (33),UD Almería (1),1-1,0-0,RCD Español (1)
?,(Sat) 23 Aug 2014 (33),Granada CF (1),2-1,0-1,RCD La Coruña (1)
?,(Sat) 23 Aug 2014 (33),Málaga CF (1),1-0,1-0,Athletic Club Bilbao (1)
?,(Sat) 23 Aug 2014 (33),Sevilla FC (1),1-1,1-0,Valencia CF (1)
?,(Sun) 24 Aug 2014 (33),FC Barcelona (1),3-0,1-0,Elche CF (1)
?,(Sun) 24 Aug 2014 (33),RC Celta Vigo (1),3-1,1-0,Getafe CF (1)
?,(Sun) 24 Aug 2014 (33),SD Eibar (1),1-0,1-0,Real Sociedad (1)
?,(Sun) 24 Aug 2014 (33),Levante UD (1),0-2,0-0,Villarreal CF (1)
?,(Mon) 25 Aug 2014 (34),Real Madrid CF (1),2-0,1-0,Córdoba CF (1)
?,(Mon) 25 Aug 2014 (34),Rayo Vallecano (1),0-0,0-0,Atlético Madrid (1)
?,(Fri) 29 Aug 2014 (34),Getafe CF (2),1-0,1-0,UD Almería (2)
?,(Fri) 29 Aug 2014 (34),Valencia CF (2),3-0,2-0,Málaga CF (2)
?,(Sat) 30 Aug 2014 (34),Athletic Club Bilbao (2),3-0,1-0,Levante UD (2)
?,(Sat) 30 Aug 2014 (34),Atlético Madrid (2),2-1,2-1,SD Eibar (2)
?,(Sat) 30 Aug 2014 (34),Córdoba CF (2),1-1,0-0,RC Celta Vigo (2)
?,(Sat) 30 Aug 2014 (34),RCD Español (2),1-2,0-1,Sevilla FC (2)
?,(Sun) 31 Aug 2014 (34),Elche CF (2),1-1,0-0,Granada CF (2)
?,(Sun) 31 Aug 2014 (34),RCD La Coruña (2),2-2,1-1,Rayo Vallecano (2)
?,(Sun) 31 Aug 2014 (34),Real Sociedad (2),4-2,2-2,Real Madrid CF (2)
?,(Sun) 31 Aug 2014 (34),Villarreal CF (2),0-1,0-0,FC Barcelona (2)
?,(Fri) 12 Sep 2014 (36),UD Almería (3),1-1,1-1,Córdoba CF (3)
?,(Sat) 13 Sep 2014 (36),FC Barcelona (3),2-0,0-0,Athletic Club Bilbao (3)
?,(Sat) 13 Sep 2014 (36),RC Celta Vigo (3),2-2,1-0,Real Sociedad (3)
?,(Sat) 13 Sep 2014 (36),Málaga CF (3),0-0,0-0,Levante UD (3)
?,(Sat) 13 Sep 2014 (36),Real Madrid CF (3),1-2,1-1,Atlético Madrid (3)
?,(Sun) 14 Sep 2014 (36),Granada CF (3),0-0,0-0,Villarreal CF (3)
?,(Sun) 14 Sep 2014 (36),Sevilla FC (3),2-0,1-0,Getafe CF (3)
?,(Sun) 14 Sep 2014 (36),Valencia CF (3),3-1,1-0,RCD Español (3)
?,(Sun) 14 Sep 2014 (36),Rayo Vallecano (3),2-3,1-1,Elche CF (3)
?,(Mon) 15 Sep 2014 (37),SD Eibar (3),0-1,0-1,RCD La Coruña (3)
?,(Fri) 19 Sep 2014 (37),Elche CF (4),0-2,0-2,SD Eibar (4)
