Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 17 Aug 2019 (W33),CD Lugo (1),0-0,0-0,Extremadura UD (1)
?,(Sat) 17 Aug 2019 (W33),Real Racing Santander (1),0-1,0-0,Málaga CF (1)
?,(Sat) 17 Aug 2019 (W33),UD Almería (1),3-0,0-0,Albacete Balompié (1)
?,(Sat) 17 Aug 2019 (W33),Elche CF (1),0-2,0-2,CF Fuenlabrada (1)
?,(Sat) 17 Aug 2019 (W33),Rayo Vallecano (1),2-2,2-1,CD Mirandés (1)
?,(Sat) 17 Aug 2019 (W33),Real Zaragoza (1),2-0,1-0,CD Tenerife (1)
?,(Sun) 18 Aug 2019 (W33),RCD La Coruña (1),3-2,1-0,Real Oviedo (1)
?,(Sun) 18 Aug 2019 (W33),CD Numancia (1),0-1,0-0,AD Alcorcón (1)
?,(Sun) 18 Aug 2019 (W33),Girona FC (1),1-1,0-0,Sporting Gijón (1)
?,(Sun) 18 Aug 2019 (W33),Cádiz CF (1),3-1,0-1,SD Ponferradina (1)
?,(Sun) 18 Aug 2019 (W33),UD Las Palmas (1),0-1,0-0,SD Huesca (1)
?,(Fri) 23 Aug 2019 (W34),Albacete Balompié (2),1-0,0-0,Girona FC (2)
?,(Sat) 24 Aug 2019 (W34),Real Oviedo (2),1-1,1-0,CD Lugo (2)
?,(Sat) 24 Aug 2019 (W34),Real Racing Santander (2),1-1,1-0,UD Almería (2)
?,(Sat) 24 Aug 2019 (W34),CD Mirandés (2),1-2,0-0,Cádiz CF (2)
?,(Sat) 24 Aug 2019 (W34),AD Alcorcón (2),1-2,1-0,Elche CF (2)
?,(Sat) 24 Aug 2019 (W34),Málaga CF (2),1-1,0-0,UD Las Palmas (2)
?,(Sun) 25 Aug 2019 (W34),SD Ponferradina (2),1-1,0-0,Real Zaragoza (2)
?,(Sun) 25 Aug 2019 (W34),Sporting Gijón (2),1-1,1-0,Rayo Vallecano (2)
?,(Sun) 25 Aug 2019 (W34),SD Huesca (2),3-1,2-0,RCD La Coruña (2)
?,(Sun) 25 Aug 2019 (W34),CD Tenerife (2),3-2,1-0,CD Numancia (2)
?,(Sun) 25 Aug 2019 (W34),Extremadura UD (2),1-2,0-1,CF Fuenlabrada (2)
?,(Fri) 30 Aug 2019 (W35),Real Zaragoza (3),1-0,0-0,Elche CF (3)
?,(Sat) 31 Aug 2019 (W35),CF Fuenlabrada (3),2-1,1-1,Real Oviedo (3)
?,(Sat) 31 Aug 2019 (W35),CD Numancia (3),2-0,0-0,CD Mirandés (3)
?,(Sat) 31 Aug 2019 (W35),UD Almería (3),1-0,1-0,SD Huesca (3)
?,(Sat) 31 Aug 2019 (W35),UD Las Palmas (3),2-2,0-1,Real Racing Santander (3)
?,(Sun) 1 Sep 2019 (W35),CD Lugo (3),2-4,1-2,AD Alcorcón (3)
?,(Sun) 1 Sep 2019 (W35),Sporting Gijón (3),2-0,0-0,Albacete Balompié (3)
?,(Sun) 1 Sep 2019 (W35),Rayo Vallecano (3),3-1,2-1,RCD La Coruña (3)
?,(Sun) 1 Sep 2019 (W35),Girona FC (3),1-0,1-0,Málaga CF (3)
?,(Sun) 1 Sep 2019 (W35),SD Ponferradina (3),4-0,1-0,CD Tenerife (3)
?,(Sun) 1 Sep 2019 (W35),Cádiz CF (3),2-1,1-0,Extremadura UD (3)
