Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 29 Aug 1998 (34),Atlético Madrid B (1),2-3,2-0,Hércules CF (1)
?,(Sat) 29 Aug 1998 (34),UD Las Palmas (1),2-1,1-1,Albacete Balompié (1)
?,(Sat) 29 Aug 1998 (34),UE Lleida (1),1-4,0-3,CD Leganés (1)
?,(Sat) 29 Aug 1998 (34),CD Numancia (1),2-1,1-0,CP Mérida (1)
?,(Sun) 30 Aug 1998 (34),SD Compostela (1),0-0,0-0,Recreativo Huelva (1)
?,(Sun) 30 Aug 1998 (34),CD Logroñés (1),1-0,0-0,CD Badajoz (1)
?,(Sun) 30 Aug 1998 (34),Málaga CF (1),2-1,0-1,SD Eibar (1)
?,(Sun) 30 Aug 1998 (34),RCD Mallorca B (1),4-1,2-1,FC Barcelona B (1)
?,(Sun) 30 Aug 1998 (34),Sevilla FC (1),3-0,1-0,CD Ourense (1)
?,(Sun) 30 Aug 1998 (34),Sporting Gijón (1),0-0,0-0,CD Toledo (1)
?,(Sun) 30 Aug 1998 (34),Rayo Vallecano (1),1-1,1-0,CA Osasuna (1)
?,(Sat) 5 Sep 1998 (35),FC Barcelona B (2),1-1,0-1,Atlético Madrid B (2)
?,(Sat) 5 Sep 1998 (35),Hércules CF (2),1-1,0-1,Rayo Vallecano (2)
?,(Sat) 5 Sep 1998 (35),CA Osasuna (2),1-1,0-1,CD Logroñés (2)
?,(Sat) 5 Sep 1998 (35),CD Ourense (2),0-1,0-0,Málaga CF (2)
?,(Sun) 6 Sep 1998 (35),Albacete Balompié (2),0-2,0-2,RCD Mallorca B (2)
?,(Sun) 6 Sep 1998 (35),CD Badajoz (2),1-2,0-1,UE Lleida (2)
?,(Sun) 6 Sep 1998 (35),SD Eibar (2),2-1,1-1,Sporting Gijón (2)
?,(Sun) 6 Sep 1998 (35),CD Leganés (2),0-5,0-0,CD Numancia (2)
?,(Sun) 6 Sep 1998 (35),CP Mérida (2),0-1,0-0,SD Compostela (2)
?,(Sun) 6 Sep 1998 (35),Recreativo Huelva (2),0-1,0-0,Sevilla FC (2)
?,(Sun) 6 Sep 1998 (35),CD Toledo (2),2-0,0-0,UD Las Palmas (2)
?,(Sat) 12 Sep 1998 (36),SD Compostela (3),4-1,0-1,CD Leganés (3)
?,(Sat) 12 Sep 1998 (36),UD Las Palmas (3),3-0,2-0,SD Eibar (3)
?,(Sat) 12 Sep 1998 (36),Rayo Vallecano (3),0-0,0-0,FC Barcelona B (3)
?,(Sun) 13 Sep 1998 (36),Atlético Madrid B (3),0-0,0-0,Albacete Balompié (3)
?,(Sun) 13 Sep 1998 (36),UE Lleida (3),1-0,0-0,CA Osasuna (3)
?,(Sun) 13 Sep 1998 (36),CD Logroñés (3),2-1,1-0,Hércules CF (3)
?,(Sun) 13 Sep 1998 (36),Málaga CF (3),1-1,1-1,Sporting Gijón (3)
