Date,Team 1,Team 2,FT,HT
1998-08-29,Ath Madrid B,Hercules,2-3,2-0
1998-08-29,Las Palmas,Albacete,2-1,1-1
1998-08-29,Lleida,Leganes,1-4,0-3
1998-08-29,Numancia,Merida,2-1,1-0
1998-08-30,Compostela,Recreativo,0-0,0-0
1998-08-30,Logrones,Badajoz,1-0,0-0
1998-08-30,Malaga,Eibar,2-1,0-1
1998-08-30,Mallorca B,Barcelona B,4-1,2-1
1998-08-30,Sevilla,Ourense,3-0,1-0
1998-08-30,Sp Gijon,Toledo,0-0,0-0
1998-08-30,Vallecano,Osasuna,1-1,1-0
1998-09-05,Barcelona B,Ath Madrid B,1-1,0-1
1998-09-05,Hercules,Vallecano,1-1,0-1
1998-09-05,Osasuna,Logrones,1-1,0-1
1998-09-05,Ourense,Malaga,0-1,0-0
1998-09-06,Albacete,Mallorca B,0-2,0-2
1998-09-06,Badajoz,Lleida,1-2,0-1
1998-09-06,Eibar,Sp Gijon,2-1,1-1
1998-09-06,Leganes,Numancia,0-5,0-0
1998-09-06,Merida,Compostela,0-1,0-0
1998-09-06,Recreativo,Sevilla,0-1,0-0
1998-09-06,Toledo,Las Palmas,2-0,0-0
1998-09-12,Compostela,Leganes,4-1,0-1
1998-09-12,Las Palmas,Eibar,3-0,2-0
1998-09-12,Vallecano,Barcelona B,0-0,0-0
1998-09-13,Ath Madrid B,Albacete,0-0,0-0
1998-09-13,Lleida,Osasuna,1-0,0-0
1998-09-13,Logrones,Hercules,2-1,1-0
1998-09-13,Malaga,Sp Gijon,1-1,1-1
1998-09-13,Numancia,Badajoz,2-1,0-1
1998-09-13,Ourense,Recreativo,1-0,1-0
1998-09-13,Sevilla,Merida,0-0,0-0
1998-09-14,Mallorca B,Toledo,0-1,0-1
1998-09-19,Barcelona B,Logrones,1-2,1-1
1998-09-19,Eibar,Mallorca B,0-1,0-1
1998-09-19,Hercules,Lleida,0-3,0-1
1998-09-19,Recreativo,Malaga,2-2,1-1
1998-09-20,Albacete,Vallecano,2-2,1-1
1998-09-20,Badajoz,Compostela,2-2,0-2
1998-09-20,Leganes,Sevilla,0-1,0-1
1998-09-20,Merida,Ourense,1-1,1-1
1998-09-20,Osasuna,Numancia,0-1,0-0
1998-09-20,Sp Gijon,Las Palmas,0-2,0-1
1998-09-20,Toledo,Ath Madrid B,2-0,1-0
1998-09-26,Compostela,Osasuna,0-2,0-0
1998-09-26,Lleida,Barcelona B,2-3,2-0
1998-09-26,Vallecano,Toledo,1-1,1-0
1998-09-27,Ath Madrid B,Eibar,2-1,1-0
1998-09-27,Logrones,Albacete,0-1,0-0
1998-09-27,Malaga,Las Palmas,0-0,0-0
1998-09-27,Numancia,Hercules,2-0,0-0
1998-09-27,Ourense,Leganes,1-0,0-0
1998-09-27,Recreativo,Merida,0-0,0-0
1998-09-27,Sevilla,Badajoz,0-0,0-0
1998-09-28,Mallorca B,Sp Gijon,2-0,1-0
1998-10-03,Barcelona B,Numancia,0-4,0-0
1998-10-03,Eibar,Vallecano,1-2,0-1
1998-10-03,Hercules,Compostela,3-2,3-1
1998-10-03,Leganes,Recreativo,1-0,0-0
1998-10-04,Albacete,Lleida,0-1,0-1
1998-10-04,Badajoz,Ourense,2-0,0-0
1998-10-04,Las Palmas,Mallorca B,4-2,1-0
1998-10-04,Merida,Malaga,1-4,1-2
1998-10-04,Osasuna,Sevilla,2-1,1-0
1998-10-04,Sp Gijon,Ath Madrid B,0-3,0-1
1998-10-04,Toledo,Logrones,4-1,3-0
1998-10-10,Compostela,Barcelona B,2-1,1-0
1998-10-10,Logrones,Eibar,1-1,1-0
1998-10-10,Sevilla,Hercules,1-0,0-0
1998-10-10,Vallecano,Sp Gijon,2-1,0-0
1998-10-11,Ath Madrid B,Las Palmas,2-1,1-0
1998-10-11,Lleida,Toledo,3-1,1-1
1998-10-11,Malaga,Mallorca B,2-1,1-0
1998-10-11,Merida,Leganes,2-0,2-0
