Round,Date,Team 1,FT,HT,Team 2
?,(Sun) 5 Sep 1993 (35),Athletic Club Bilbao (1),4-1,?,Albacete (1)
?,(Sun) 5 Sep 1993 (35),Atlético Madrid (1),1-0,?,Logrones (1)
?,(Sun) 5 Sep 1993 (35),FC Barcelona (1),3-0,?,Real Sociedad (1)
?,(Sun) 5 Sep 1993 (35),RCD La Coruña (1),0-0,?,RC Celta Vigo (1)
?,(Sun) 5 Sep 1993 (35),Osasuna (1),1-4,?,Real Madrid CF (1)
?,(Sun) 5 Sep 1993 (35),Oviedo (1),0-3,?,Valencia CF (1)
?,(Sun) 5 Sep 1993 (35),Santander (1),1-0,?,Rayo Vallecano (1)
?,(Sun) 5 Sep 1993 (35),Tenerife (1),1-0,?,Lerida (1)
?,(Sun) 5 Sep 1993 (35),Valladolid (1),0-1,?,Sporting Gijón (1)
?,(Sun) 5 Sep 1993 (35),Zaragoza (1),1-2,?,Sevilla FC (1)
?,(Sun) 12 Sep 1993 (36),Albacete (2),0-0,?,FC Barcelona (2)
?,(Sun) 12 Sep 1993 (36),RC Celta Vigo (2),1-1,?,Oviedo (2)
?,(Sun) 12 Sep 1993 (36),Lerida (2),1-2,?,Athletic Club Bilbao (2)
?,(Sun) 12 Sep 1993 (36),Logrones (2),0-1,?,Santander (2)
?,(Sun) 12 Sep 1993 (36),Real Madrid CF (2),1-3,?,Valladolid (2)
?,(Sun) 12 Sep 1993 (36),Sevilla FC (2),1-1,?,Osasuna (2)
?,(Sun) 12 Sep 1993 (36),Real Sociedad (2),2-2,?,Zaragoza (2)
?,(Sun) 12 Sep 1993 (36),Sporting Gijón (2),0-2,?,RCD La Coruña (2)
?,(Sun) 12 Sep 1993 (36),Valencia CF (2),2-2,?,Atlético Madrid (2)
?,(Sun) 12 Sep 1993 (36),Rayo Vallecano (2),4-3,?,Tenerife (2)
?,(Sun) 19 Sep 1993 (37),Athletic Club Bilbao (3),0-0,?,FC Barcelona (3)
