Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 14 Sep 1968 (37),FC Barcelona (1),0-0,?,Real Sociedad (1)
?,(Sun) 15 Sep 1968 (37),Elche CF (1),4-1,?,Córdoba CF (1)
?,(Sun) 15 Sep 1968 (37),Granada CF (1),0-1,?,CE Sabadell (1)
?,(Sun) 15 Sep 1968 (37),UD Las Palmas (1),2-1,?,Atlético Madrid (1)
?,(Sun) 15 Sep 1968 (37),Málaga CF (1),3-1,?,RCD La Coruña (1)
?,(Sun) 15 Sep 1968 (37),Pontevedra CF (1),2-0,?,Valencia CF (1)
?,(Sun) 15 Sep 1968 (37),Real Madrid CF (1),3-1,?,RCD Español (1)
?,(Sun) 15 Sep 1968 (37),Real Zaragoza (1),0-2,?,Athletic Club Bilbao (1)
?,(Sat) 21 Sep 1968 (38),Atlético Madrid (2),0-1,?,FC Barcelona (2)
?,(Sat) 21 Sep 1968 (38),RCD Español (2),1-2,?,UD Las Palmas (2)
?,(Sun) 22 Sep 1968 (38),Athletic Club Bilbao (2),1-1,?,Elche CF (2)
?,(Sun) 22 Sep 1968 (38),Córdoba CF (2),2-2,?,Málaga CF (2)
?,(Sun) 22 Sep 1968 (38),RCD La Coruña (2),2-4,?,Real Madrid CF (2)
?,(Sun) 22 Sep 1968 (38),Real Sociedad (2),0-0,?,Pontevedra CF (2)
?,(Sun) 22 Sep 1968 (38),CE Sabadell (2),1-0,?,Real Zaragoza (2)
?,(Sun) 22 Sep 1968 (38),Valencia CF (2),4-1,?,Granada CF (2)
?,(Sat) 28 Sep 1968 (39),Granada CF (3),0-0,?,Real Sociedad (3)
?,(Sat) 28 Sep 1968 (39),Málaga CF (3),4-0,?,Athletic Club Bilbao (3)
?,(Sun) 29 Sep 1968 (39),Elche CF (3),3-0,?,CE Sabadell (3)
?,(Sun) 29 Sep 1968 (39),RCD Español (3),4-0,?,RCD La Coruña (3)
?,(Sun) 29 Sep 1968 (39),UD Las Palmas (3),0-0,?,FC Barcelona (3)
?,(Sun) 29 Sep 1968 (39),Pontevedra CF (3),0-0,?,Atlético Madrid (3)
?,(Sun) 29 Sep 1968 (39),Real Madrid CF (3),2-0,?,Córdoba CF (3)
?,(Sun) 29 Sep 1968 (39),Real Zaragoza (3),3-1,?,Valencia CF (3)
?,(Sun) 6 Oct 1968 (40),Athletic Club Bilbao (4),0-1,?,Real Madrid CF (4)
?,(Sun) 6 Oct 1968 (40),Atlético Madrid (4),1-0,?,Granada CF (4)
?,(Sun) 6 Oct 1968 (40),FC Barcelona (4),1-0,?,Pontevedra CF (4)
?,(Sun) 6 Oct 1968 (40),Córdoba CF (4),5-0,?,RCD Español (4)
?,(Sun) 6 Oct 1968 (40),UD Las Palmas (4),2-1,?,RCD La Coruña (4)
?,(Sun) 6 Oct 1968 (40),Real Sociedad (4),2-1,?,Real Zaragoza (4)
?,(Sun) 6 Oct 1968 (40),CE Sabadell (4),2-1,?,Málaga CF (4)
?,(Sun) 6 Oct 1968 (40),Valencia CF (4),1-0,?,Elche CF (4)
?,(Sun) 13 Oct 1968 (41),RCD La Coruña (5),1-0,?,Córdoba CF (5)
?,(Sun) 13 Oct 1968 (41),Elche CF (5),0-0,?,Real Sociedad (5)
?,(Sun) 13 Oct 1968 (41),RCD Español (5),2-0,?,Athletic Club Bilbao (5)
?,(Sun) 13 Oct 1968 (41),Granada CF (5),1-0,?,FC Barcelona (5)
?,(Sun) 13 Oct 1968 (41),Málaga CF (5),4-1,?,Valencia CF (5)
?,(Sun) 13 Oct 1968 (41),Pontevedra CF (5),3-0,?,UD Las Palmas (5)
?,(Sun) 13 Oct 1968 (41),Real Madrid CF (5),5-3,?,CE Sabadell (5)
?,(Sun) 13 Oct 1968 (41),Real Zaragoza (5),2-0,?,Atlético Madrid (5)
?,(Sun) 20 Oct 1968 (42),Athletic Club Bilbao (6),2-3,?,RCD La Coruña (6)
?,(Sun) 20 Oct 1968 (42),Atlético Madrid (6),0-0,?,Elche CF (6)
?,(Sun) 20 Oct 1968 (42),FC Barcelona (6),4-0,?,Real Zaragoza (6)
?,(Sun) 20 Oct 1968 (42),Córdoba CF (6),3-4,?,UD Las Palmas (6)
?,(Sun) 20 Oct 1968 (42),Pontevedra CF (6),1-0,?,Granada CF (6)
?,(Sun) 20 Oct 1968 (42),Real Sociedad (6),1-0,?,Málaga CF (6)
?,(Sun) 20 Oct 1968 (42),CE Sabadell (6),1-0,?,RCD Español (6)
?,(Sun) 20 Oct 1968 (42),Valencia CF (6),0-1,?,Real Madrid CF (6)
?,(Sun) 3 Nov 1968 (44),Córdoba CF (7),1-1,?,Athletic Club Bilbao (7)
?,(Sun) 3 Nov 1968 (44),RCD La Coruña (7),1-1,?,CE Sabadell (7)
?,(Sun) 3 Nov 1968 (44),Elche CF (7),1-2,?,FC Barcelona (7)
?,(Sun) 3 Nov 1968 (44),RCD Español (7),0-1,?,Valencia CF (7)
?,(Sun) 3 Nov 1968 (44),UD Las Palmas (7),1-0,?,Granada CF (7)
?,(Sun) 3 Nov 1968 (44),Málaga CF (7),0-0,?,Atlético Madrid (7)
?,(Sun) 3 Nov 1968 (44),Real Madrid CF (7),2-1,?,Real Sociedad (7)
?,(Sun) 3 Nov 1968 (44),Real Zaragoza (7),2-2,?,Pontevedra CF (7)
?,(Sun) 10 Nov 1968 (45),Atlético Madrid (8),0-1,?,Real Madrid CF (8)
?,(Sun) 10 Nov 1968 (45),FC Barcelona (8),1-0,?,Málaga CF (8)
?,(Sun) 10 Nov 1968 (45),Granada CF (8),1-0,?,Real Zaragoza (8)
?,(Sun) 10 Nov 1968 (45),UD Las Palmas (8),1-1,?,Athletic Club Bilbao (8)
?,(Sun) 10 Nov 1968 (45),Pontevedra CF (8),0-1,?,Elche CF (8)
?,(Sun) 10 Nov 1968 (45),Real Sociedad (8),2-1,?,RCD Español (8)
?,(Sun) 10 Nov 1968 (45),CE Sabadell (8),4-0,?,Córdoba CF (8)
?,(Sun) 10 Nov 1968 (45),Valencia CF (8),2-1,?,RCD La Coruña (8)
?,(Sat) 16 Nov 1968 (46),Athletic Club Bilbao (9),2-1,?,CE Sabadell (9)
?,(Sat) 16 Nov 1968 (46),Real Madrid CF (9),2-1,?,FC Barcelona (9)
?,(Sun) 17 Nov 1968 (46),Córdoba CF (9),2-0,?,Valencia CF (9)
?,(Sun) 17 Nov 1968 (46),RCD La Coruña (9),1-1,?,Real Sociedad (9)
?,(Sun) 17 Nov 1968 (46),Elche CF (9),0-1,?,Granada CF (9)
?,(Sun) 17 Nov 1968 (46),RCD Español (9),3-2,?,Atlético Madrid (9)
?,(Sun) 17 Nov 1968 (46),Málaga CF (9),2-1,?,Pontevedra CF (9)
?,(Sun) 17 Nov 1968 (46),Real Zaragoza (9),2-3,?,UD Las Palmas (9)
?,(Sun) 24 Nov 1968 (47),Atlético Madrid (10),5-1,?,RCD La Coruña (10)
?,(Sun) 24 Nov 1968 (47),FC Barcelona (10),1-0,?,RCD Español (10)
?,(Sun) 24 Nov 1968 (47),Granada CF (10),2-0,?,Málaga CF (10)
?,(Sun) 24 Nov 1968 (47),UD Las Palmas (10),3-1,?,CE Sabadell (10)
?,(Sun) 24 Nov 1968 (47),Pontevedra CF (10),0-0,?,Real Madrid CF (10)
?,(Sun) 24 Nov 1968 (47),Real Sociedad (10),5-1,?,Córdoba CF (10)
?,(Sun) 24 Nov 1968 (47),Valencia CF (10),5-1,?,Athletic Club Bilbao (10)
?,(Sun) 24 Nov 1968 (47),Real Zaragoza (10),0-2,?,Elche CF (10)
?,(Sat) 30 Nov 1968 (48),Real Madrid CF (11),2-1,?,Granada CF (11)
?,(Sun) 1 Dec 1968 (48),Athletic Club Bilbao (11),3-1,?,Real Sociedad (11)
?,(Sun) 1 Dec 1968 (48),Córdoba CF (11),0-3,?,Atlético Madrid (11)
?,(Sun) 1 Dec 1968 (48),RCD La Coruña (11),1-0,?,FC Barcelona (11)
?,(Sun) 1 Dec 1968 (48),RCD Español (11),2-1,?,Pontevedra CF (11)
?,(Sun) 1 Dec 1968 (48),UD Las Palmas (11),1-1,?,Elche CF (11)
?,(Sun) 1 Dec 1968 (48),Málaga CF (11),1-1,?,Real Zaragoza (11)
?,(Sun) 1 Dec 1968 (48),CE Sabadell (11),2-1,?,Valencia CF (11)
?,(Sun) 8 Dec 1968 (49),Elche CF (12),0-0,?,Málaga CF (12)
?,(Sun) 8 Dec 1968 (49),Pontevedra CF (12),0-0,?,RCD La Coruña (12)
?,(Sun) 8 Dec 1968 (49),Real Sociedad (12),1-1,?,CE Sabadell (12)
?,(Wed) 18 Dec 1968 (51),Atlético Madrid (12),4-4,?,Athletic Club Bilbao (12)
?,(Wed) 18 Dec 1968 (51),FC Barcelona (12),4-0,?,Córdoba CF (12)
?,(Wed) 18 Dec 1968 (51),Granada CF (12),1-0,?,RCD Español (12)
?,(Wed) 18 Dec 1968 (51),Valencia CF (12),2-2,?,UD Las Palmas (12)
?,(Wed) 18 Dec 1968 (51),Real Zaragoza (12),1-1,?,Real Madrid CF (12)
?,(Sun) 15 Dec 1968 (50),Athletic Club Bilbao (13),1-1,?,FC Barcelona (13)
?,(Sun) 15 Dec 1968 (50),Córdoba CF (13),3-1,?,Pontevedra CF (13)
?,(Sun) 15 Dec 1968 (50),RCD La Coruña (13),4-0,?,Granada CF (13)
?,(Sun) 15 Dec 1968 (50),RCD Español (13),3-1,?,Real Zaragoza (13)
