Round,Date,Team 1,FT,HT,Team 2
?,(Sun) 14 Sep 1952 (36),Atlético Madrid (1),5-1,?,Real Oviedo (1)
?,(Sun) 14 Sep 1952 (36),FC Barcelona (1),4-3,?,RCD La Coruña (1)
?,(Sun) 14 Sep 1952 (36),RC Celta Vigo (1),0-1,?,RCD Español (1)
?,(Sun) 14 Sep 1952 (36),Real Sporting (1),4-0,?,Málaga CF (1)
?,(Sun) 14 Sep 1952 (36),R. Racing C. (1),2-0,?,Athletic Club Bilbao (1)
?,(Sun) 14 Sep 1952 (36),Real Sociedad (1),0-0,?,Valencia CF (1)
?,(Sun) 14 Sep 1952 (36),Sevilla FC (1),2-2,?,Real Madrid CF (1)
?,(Sun) 14 Sep 1952 (36),Real Zaragoza (1),0-4,?,Real Valladolid CF (1)
?,(Sun) 21 Sep 1952 (37),Athletic Club Bilbao (2),3-0,?,Real Zaragoza (2)
?,(Sun) 21 Sep 1952 (37),RCD La Coruña (2),0-1,?,R. Racing C. (2)
?,(Sun) 21 Sep 1952 (37),RCD Español (2),6-2,?,Sevilla FC (2)
?,(Sun) 21 Sep 1952 (37),Málaga CF (2),1-3,?,Atlético Madrid (2)
?,(Sun) 21 Sep 1952 (37),Real Madrid CF (2),2-2,?,Real Sporting (2)
?,(Sun) 21 Sep 1952 (37),Real Oviedo (2),2-1,?,FC Barcelona (2)
?,(Sun) 21 Sep 1952 (37),Valencia CF (2),3-2,?,RC Celta Vigo (2)
?,(Sun) 21 Sep 1952 (37),Real Valladolid CF (2),1-2,?,Real Sociedad (2)
?,(Sun) 28 Sep 1952 (38),FC Barcelona (3),6-2,?,Málaga CF (3)
?,(Sun) 28 Sep 1952 (38),RC Celta Vigo (3),2-0,?,Real Valladolid CF (3)
?,(Sun) 28 Sep 1952 (38),Real Sporting (3),2-0,?,Atlético Madrid (3)
?,(Sun) 28 Sep 1952 (38),R. Racing C. (3),0-2,?,Real Oviedo (3)
?,(Sun) 28 Sep 1952 (38),Real Sociedad (3),3-1,?,Athletic Club Bilbao (3)
?,(Sun) 28 Sep 1952 (38),Real Madrid CF (3),1-2,?,RCD Español (3)
?,(Sun) 28 Sep 1952 (38),Sevilla FC (3),4-2,?,Valencia CF (3)
?,(Sun) 28 Sep 1952 (38),Real Zaragoza (3),1-2,?,RCD La Coruña (3)
?,(Sun) 5 Oct 1952 (39),Athletic Club Bilbao (4),5-0,?,RC Celta Vigo (4)
?,(Sun) 5 Oct 1952 (39),Atlético Madrid (4),2-1,?,FC Barcelona (4)
?,(Sun) 5 Oct 1952 (39),RCD La Coruña (4),1-0,?,Real Sociedad (4)
?,(Sun) 5 Oct 1952 (39),RCD Español (4),4-0,?,Real Sporting (4)
?,(Sun) 5 Oct 1952 (39),Málaga CF (4),4-2,?,R. Racing C. (4)
?,(Sun) 5 Oct 1952 (39),Real Oviedo (4),3-2,?,Real Zaragoza (4)
?,(Sun) 5 Oct 1952 (39),Valencia CF (4),3-2,?,Real Madrid CF (4)
?,(Sun) 5 Oct 1952 (39),Real Valladolid CF (4),0-4,?,Sevilla FC (4)
?,(Sun) 12 Oct 1952 (40),RC Celta Vigo (5),2-0,?,RCD La Coruña (5)
?,(Sun) 12 Oct 1952 (40),RCD Español (5),2-1,?,Valencia CF (5)
